Time,"Conductivity, mS","Temperature, C"
16:16:20,0.288,21.6
0,0,0
0,0,0
16:16:22,0.288,21.5
0,0,0
0,0,0
16:16:24,0.293,21.4
0,0,0
0,0,0
16:16:26,0.299,21.3
0,0,0
0,0,0
16:16:28,0.304,21.3
0,0,0
0,0,0
16:16:30,0.31,21.3
0,0,0
0,0,0
16:16:32,0.315,21.3
0,0,0
0,0,0
16:16:34,0.32,21.3
0,0,0
0,0,0
16:16:36,0.324,21.2
0,0,0
0,0,0
16:16:38,0.329,21.2
0,0,0
0,0,0
16:16:40,0.333,21.2
0,0,0
0,0,0
16:16:42,0.338,21.3
0,0,0
0,0,0
16:16:44,0.338,21.2
0,0,0
0,0,0
16:16:46,0.342,21.3
0,0,0
0,0,0
16:16:48,0.346,21.3
0,0,0
0,0,0
16:16:50,0.351,21.3
0,0,0
0,0,0
16:16:52,0.355,21.3
0,0,0
0,0,0
16:16:54,0.359,21.3
0,0,0
0,0,0
16:16:56,0.363,21.3
0,0,0
0,0,0
16:16:58,0.367,21.3
0,0,0
0,0,0
16:17:00,0.371,21.3
0,0,0
0,0,0
16:17:02,0.371,21.3
0,0,0
0,0,0
16:17:04,0.375,21.3
0,0,0
0,0,0
16:17:06,0.379,21.4
0,0,0
0,0,0
16:17:08,0.383,21.4
0,0,0
0,0,0
16:17:10,0.386,21.4
0,0,0
0,0,0
16:17:12,0.39,21.4
0,0,0
0,0,0
16:17:14,0.394,21.4
0,0,0
0,0,0
16:17:16,0.397,21.4
0,0,0
0,0,0
16:17:18,0.4,21.5
0,0,0
0,0,0
16:17:20,0.403,21.5
0,0,0
0,0,0
16:17:22,0.403,21.5
0,0,0
0,0,0
16:17:24,0.406,21.5
0,0,0
0,0,0
16:17:26,0.41,21.5
0,0,0
0,0,0
16:17:28,0.414,21.5
0,0,0
0,0,0
16:17:30,0.417,21.6
0,0,0
0,0,0
16:17:32,0.421,21.6
0,0,0
0,0,0
16:17:34,0.424,21.6
0,0,0
0,0,0
16:17:36,0.424,21.6
0,0,0
0,0,0
16:17:38,0.427,21.6
0,0,0
0,0,0
16:17:40,0.43,21.6
0,0,0
0,0,0
16:17:42,0.433,21.7
0,0,0
0,0,0
16:17:44,0.436,21.7
0,0,0
0,0,0
16:17:46,0.439,21.7
0,0,0
0,0,0
16:17:48,0.441,21.7
0,0,0
0,0,0
16:17:50,0.444,21.7
0,0,0
0,0,0
16:17:52,0.447,21.8
0,0,0
0,0,0
16:17:54,0.45,21.8
0,0,0
0,0,0
16:17:56,0.452,21.8
0,0,0
0,0,0
16:17:58,0.455,21.8
0,0,0
0,0,0
16:18:00,0.455,21.8
0,0,0
0,0,0
16:18:02,0.457,21.8
0,0,0
0,0,0
16:18:04,0.46,21.8
0,0,0
0,0,0
16:18:06,0.463,21.9
0,0,0
0,0,0
16:18:08,0.466,21.9
0,0,0
0,0,0
16:18:10,0.468,21.9
0,0,0
0,0,0
16:18:12,0.471,21.9
0,0,0
0,0,0
16:18:14,0.473,21.9
0,0,0
0,0,0
16:18:16,0.475,22
0,0,0
0,0,0
16:18:18,0.478,22
0,0,0
0,0,0
16:18:20,0.48,22
0,0,0
0,0,0
16:18:22,0.48,22
0,0,0
0,0,0
16:18:24,0.482,22
0,0,0
0,0,0
16:18:26,0.485,22
0,0,0
0,0,0
16:18:28,0.488,22.1
0,0,0
0,0,0
16:18:30,0.49,22.1
0,0,0
0,0,0
16:18:32,0.492,22.1
0,0,0
0,0,0
16:18:34,0.494,22.1
0,0,0
0,0,0
16:18:36,0.497,22.1
0,0,0
0,0,0
16:18:38,0.499,22.1
0,0,0
0,0,0
16:18:40,0.499,22.1
0,0,0
0,0,0
16:18:42,0.501,22.2
0,0,0
0,0,0
16:18:44,0.504,22.2
0,0,0
0,0,0
16:18:46,0.506,22.2
0,0,0
0,0,0
16:18:48,0.508,22.2
0,0,0
0,0,0
16:18:50,0.51,22.2
0,0,0
0,0,0
16:18:52,0.513,22.3
0,0,0
0,0,0
16:18:54,0.515,22.3
0,0,0
0,0,0
16:18:56,0.517,22.3
0,0,0
0,0,0
16:18:58,0.517,22.3
0,0,0
0,0,0
16:19:00,0.519,22.3
0,0,0
0,0,0
16:19:02,0.521,22.3
0,0,0
0,0,0
16:19:04,0.523,22.3
0,0,0
0,0,0
16:19:06,0.526,22.4
0,0,0
0,0,0
16:19:08,0.528,22.4
0,0,0
0,0,0
