Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
16:36:01,504.40,543.10,21.25
16:36:02,505.10,541.08,21.50
16:36:03,504.40,537.60,21.75
16:36:04,504.20,540.12,21.50
16:36:05,505.00,540.97,21.50
16:36:06,505.00,538.24,21.75
16:36:07,504.80,543.53,21.25
16:36:08,505.40,541.40,21.50
16:36:09,504.50,543.20,21.25
16:36:10,504.10,540.01,21.50
16:36:11,505.00,540.97,21.50
16:36:12,504.40,540.33,21.50
16:36:13,504.00,539.90,21.50
16:36:14,505.00,543.74,21.25
16:36:15,505.00,549.36,20.75
16:36:16,504.10,542.77,21.25
16:36:17,503.80,539.69,21.50
16:36:18,503.60,542.23,21.25
16:36:19,504.10,540.01,21.50
16:36:20,504.50,546.00,21.00
16:36:21,504.50,548.82,20.75
16:36:22,504.40,545.89,21.00
16:36:23,505.20,543.96,21.25
16:36:24,504.20,542.88,21.25
16:36:25,504.80,540.76,21.50
16:36:26,504.80,543.53,21.25
16:36:27,504.20,545.67,21.00
16:36:28,505.00,543.74,21.25
16:36:29,503.80,542.45,21.25
16:36:30,504.80,540.76,21.50
16:36:31,504.80,540.76,21.50
16:36:32,504.70,543.42,21.25
16:36:33,504.50,546.00,21.00
16:36:34,505.30,541.30,21.50
16:36:35,504.20,545.67,21.00
16:36:36,504.80,543.53,21.25
16:36:37,504.20,542.88,21.25
16:36:38,504.70,543.42,21.25
16:36:39,505.00,540.97,21.50
16:36:40,504.70,537.92,21.75
16:36:41,504.40,540.33,21.50
16:36:41,505.00,540.97,21.50
16:36:42,504.80,540.76,21.50
16:36:43,504.10,542.77,21.25
16:36:44,503.30,539.15,21.50
16:36:45,504.20,542.88,21.25
16:36:46,504.80,549.14,20.75
16:36:47,504.50,537.70,21.75
16:36:48,504.40,537.60,21.75
16:36:49,504.20,537.38,21.75
16:36:50,504.40,543.10,21.25
16:36:51,504.20,537.38,21.75
16:36:52,504.50,537.70,21.75
16:36:53,504.40,540.33,21.50
16:36:54,503.60,536.74,21.75
16:36:55,503.60,534.04,22.00
16:36:56,504.10,540.01,21.50
16:36:57,504.70,543.42,21.25
16:36:58,504.50,537.70,21.75
16:36:59,504.70,537.92,21.75
16:37:00,504.20,537.38,21.75
16:37:01,504.70,540.65,21.50
16:37:02,504.20,540.12,21.50
16:37:03,504.50,543.20,21.25
16:37:04,504.70,549.03,20.75
16:37:05,504.70,546.21,21.00
16:37:06,504.80,552.00,20.50
16:37:07,505.40,544.17,21.25
16:37:08,504.10,537.28,21.75
