Time,"Conductivity, mS","Temperature, C"
16:35:35,0.382,23.6
0,0,0
0,0,0
16:35:37,0.382,23.6
0,0,0
0,0,0
16:35:39,0.382,23.6
0,0,0
0,0,0
16:35:41,0.382,23.6
0,0,0
0,0,0
16:35:43,0.382,23.6
0,0,0
0,0,0
16:35:45,0.382,23.6
0,0,0
0,0,0
16:35:47,0.382,23.6
0,0,0
0,0,0
16:35:49,0.382,23.6
0,0,0
0,0,0
16:35:51,0.382,23.6
0,0,0
0,0,0
16:35:53,0.382,23.6
0,0,0
0,0,0
16:35:55,0.382,23.6
0,0,0
0,0,0
16:35:57,0.382,23.6
0,0,0
0,0,0
16:35:59,0.382,23.6
0,0,0
0,0,0
16:36:01,0.382,23.6
0,0,0
0,0,0
16:36:03,0.382,23.6
0,0,0
0,0,0
16:36:05,0.382,23.6
0,0,0
0,0,0
16:36:07,0.382,23.6
0,0,0
0,0,0
16:36:09,0.382,23.6
0,0,0
0,0,0
16:36:11,0.382,23.6
0,0,0
0,0,0
16:36:13,0.382,23.6
0,0,0
0,0,0
16:36:15,0.382,23.6
0,0,0
0,0,0
16:36:17,0.382,23.6
0,0,0
0,0,0
16:36:19,0.382,23.6
0,0,0
0,0,0
16:36:21,0.382,23.6
0,0,0
0,0,0
16:36:23,0.382,23.6
0,0,0
0,0,0
16:36:25,0.382,23.6
0,0,0
0,0,0
16:36:27,0.382,23.6
0,0,0
0,0,0
16:36:29,0.382,23.6
0,0,0
0,0,0
16:36:31,0.382,23.6
0,0,0
0,0,0
16:36:33,0.382,23.6
0,0,0
0,0,0
16:36:35,0.382,23.6
0,0,0
0,0,0
16:36:37,0.382,23.6
0,0,0
0,0,0
16:36:39,0.382,23.6
0,0,0
0,0,0
16:36:41,0.383,23.6
0,0,0
0,0,0
16:36:43,0.382,23.6
0,0,0
0,0,0
16:36:45,0.382,23.6
0,0,0
0,0,0
16:36:47,0.382,23.6
0,0,0
0,0,0
16:36:49,0.382,23.6
0,0,0
0,0,0
16:36:51,0.382,23.6
0,0,0
0,0,0
16:36:53,0.382,23.6
0,0,0
0,0,0
16:36:55,0.382,23.6
0,0,0
0,0,0
16:36:57,0.382,23.6
0,0,0
0,0,0
16:36:59,0.383,23.6
0,0,0
0,0,0
16:37:01,0.383,23.6
0,0,0
0,0,0
16:37:03,0.383,23.6
0,0,0
0,0,0
16:37:05,0.382,23.6
0,0,0
0,0,0
16:37:07,0.382,23.6
0,0,0
0,0,0
16:37:09,0.382,23.6
0,0,0
0,0,0
16:37:11,0.382,23.6
0,0,0
0,0,0
16:37:13,0.382,23.6
0,0,0
0,0,0
16:37:15,0.382,23.6
0,0,0
0,0,0
16:37:17,0.382,23.6
0,0,0
0,0,0
16:37:19,0.382,23.6
0,0,0
0,0,0
16:37:21,0.382,23.6
0,0,0
0,0,0
16:37:23,0.382,23.6
0,0,0
0,0,0
16:37:25,0.382,23.6
0,0,0
0,0,0
16:37:27,0.383,23.6
0,0,0
0,0,0
16:37:29,0.383,23.6
0,0,0
0,0,0
16:37:31,0.383,23.6
0,0,0
0,0,0
16:37:33,0.383,23.6
0,0,0
0,0,0
16:37:35,0.382,23.6
0,0,0
0,0,0
16:37:37,0.382,23.6
0,0,0
0,0,0
16:37:39,0.382,23.6
0,0,0
0,0,0
16:37:41,0.382,23.6
0,0,0
0,0,0
16:37:43,0.383,23.6
0,0,0
0,0,0
16:37:45,0.383,23.6
0,0,0
0,0,0
16:37:47,0.383,23.6
0,0,0
0,0,0
16:37:49,0.383,23.6
0,0,0
0,0,0
16:37:51,0.382,23.6
0,0,0
0,0,0
16:37:53,0.382,23.6
0,0,0
0,0,0
16:37:55,0.382,23.6
0,0,0
0,0,0
16:37:57,0.382,23.6
0,0,0
0,0,0
16:37:59,0.382,23.6
0,0,0
0,0,0
16:38:01,0.383,23.6
0,0,0
0,0,0
16:38:03,0.383,23.6
0,0,0
0,0,0
16:38:05,0.383,23.6
0,0,0
0,0,0
16:38:07,0.383,23.6
0,0,0
0,0,0
16:38:09,0.383,23.6
0,0,0
0,0,0
16:38:11,0.383,23.6
0,0,0
0,0,0
16:38:13,0.383,23.6
0,0,0
0,0,0
16:38:15,0.383,23.6
0,0,0
0,0,0
16:38:17,0.383,23.6
0,0,0
0,0,0
16:38:19,0.383,23.6
0,0,0
0,0,0
16:38:21,0.383,23.6
0,0,0
0,0,0
16:38:23,0.383,23.6
0,0,0
0,0,0
16:38:25,0.383,23.6
0,0,0
0,0,0
16:38:27,0.383,23.6
0,0,0
0,0,0
16:38:29,0.383,23.6
0,0,0
0,0,0
16:38:31,0.383,23.6
0,0,0
0,0,0
16:38:33,0.383,23.6
0,0,0
0,0,0
16:38:35,0.383,23.6
0,0,0
0,0,0
16:38:37,0.383,23.6
0,0,0
0,0,0
16:38:39,0.383,23.6
0,0,0
0,0,0
16:38:41,0.383,23.6
0,0,0
0,0,0
16:38:43,0.383,23.6
0,0,0
0,0,0
16:38:45,0.383,23.6
0,0,0
0,0,0
16:38:47,0.383,23.6
0,0,0
0,0,0
16:38:49,0.383,23.6
0,0,0
0,0,0
16:38:51,0.383,23.6
0,0,0
0,0,0
16:38:53,0.383,23.6
0,0,0
0,0,0
16:38:55,0.383,23.6
0,0,0
0,0,0
16:38:57,0.383,23.6
0,0,0
0,0,0
16:38:59,0.383,23.6
0,0,0
0,0,0
16:39:01,0.383,23.6
0,0,0
0,0,0
16:39:03,0.383,23.6
0,0,0
0,0,0
16:39:05,0.383,23.6
0,0,0
0,0,0
16:39:07,0.383,23.6
0,0,0
0,0,0
16:39:09,0.383,23.6
0,0,0
0,0,0
16:39:11,0.382,23.6
0,0,0
0,0,0
16:39:13,0.382,23.6
0,0,0
0,0,0
16:39:15,0.382,23.6
0,0,0
0,0,0
16:39:17,0.382,23.6
0,0,0
0,0,0
16:39:19,0.383,23.6
0,0,0
0,0,0
16:39:21,0.383,23.6
0,0,0
0,0,0
16:39:23,0.383,23.6
0,0,0
0,0,0
16:39:25,0.383,23.6
0,0,0
0,0,0
16:39:27,0.383,23.6
0,0,0
0,0,0
16:39:29,0.383,23.6
0,0,0
0,0,0
16:39:31,0.383,23.6
0,0,0
0,0,0
16:39:33,0.383,23.6
0,0,0
0,0,0
16:39:35,0.383,23.6
0,0,0
0,0,0
16:39:37,0.383,23.6
0,0,0
0,0,0
16:39:39,0.383,23.6
0,0,0
0,0,0
16:39:41,0.383,23.7
0,0,0
0,0,0
16:39:43,0.382,23.7
0,0,0
0,0,0
16:39:45,0.382,23.6
0,0,0
0,0,0
16:39:47,0.382,23.6
0,0,0
0,0,0
16:39:49,0.382,23.6
0,0,0
0,0,0
16:39:51,0.382,23.7
0,0,0
0,0,0
16:39:53,0.383,23.7
0,0,0
0,0,0
16:39:55,0.382,23.7
0,0,0
0,0,0
16:39:57,0.382,23.6
0,0,0
0,0,0
16:39:59,0.382,23.6
0,0,0
0,0,0
16:40:01,0.382,23.7
0,0,0
0,0,0
16:40:03,0.382,23.7
0,0,0
0,0,0
16:40:05,0.382,23.7
0,0,0
0,0,0
16:40:07,0.382,23.7
0,0,0
0,0,0
16:40:09,0.382,23.7
0,0,0
0,0,0
16:40:11,0.382,23.7
0,0,0
0,0,0
16:40:13,0.382,23.7
0,0,0
0,0,0
16:40:15,0.382,23.7
0,0,0
0,0,0
16:40:17,0.382,23.7
0,0,0
0,0,0
16:40:19,0.382,23.7
0,0,0
0,0,0
16:40:21,0.382,23.7
0,0,0
0,0,0
16:40:23,0.382,23.7
0,0,0
0,0,0
16:40:25,0.382,23.7
0,0,0
0,0,0
16:40:27,0.382,23.7
0,0,0
0,0,0
16:40:29,0.382,23.7
0,0,0
0,0,0
16:40:31,0.382,23.7
0,0,0
0,0,0
16:40:33,0.382,23.7
0,0,0
0,0,0
16:40:35,0.382,23.7
0,0,0
0,0,0
16:40:37,0.382,23.7
0,0,0
0,0,0
16:40:39,0.382,23.7
0,0,0
0,0,0
16:40:41,0.382,23.7
0,0,0
0,0,0
16:40:43,0.382,23.7
0,0,0
0,0,0
16:40:45,0.382,23.7
0,0,0
0,0,0
16:40:47,0.382,23.7
0,0,0
0,0,0
16:40:49,0.382,23.7
0,0,0
0,0,0
16:40:51,0.382,23.7
0,0,0
0,0,0
16:40:53,0.382,23.7
0,0,0
0,0,0
16:40:55,0.382,23.7
0,0,0
0,0,0
16:40:57,0.382,23.7
0,0,0
0,0,0
16:40:59,0.382,23.7
0,0,0
0,0,0
16:41:01,0.382,23.7
0,0,0
0,0,0
16:41:03,0.382,23.7
0,0,0
0,0,0
16:41:05,0.382,23.7
0,0,0
0,0,0
16:41:07,0.382,23.7
0,0,0
0,0,0
16:41:09,0.382,23.7
0,0,0
0,0,0
16:41:11,0.382,23.7
0,0,0
0,0,0
16:41:13,0.382,23.7
0,0,0
0,0,0
16:41:15,0.382,23.7
0,0,0
0,0,0
16:41:17,0.382,23.7
0,0,0
0,0,0
16:41:19,0.382,23.7
0,0,0
0,0,0
16:41:21,0.382,23.7
0,0,0
0,0,0
16:41:23,0.382,23.7
0,0,0
0,0,0
16:41:25,0.382,23.7
0,0,0
0,0,0
16:41:27,0.382,23.7
0,0,0
0,0,0
16:41:29,0.382,23.7
0,0,0
0,0,0
16:41:31,0.382,23.7
0,0,0
0,0,0
16:41:33,0.382,23.7
0,0,0
0,0,0
16:41:35,0.382,23.7
0,0,0
0,0,0
16:41:37,0.382,23.7
0,0,0
0,0,0
16:41:39,0.382,23.7
0,0,0
0,0,0
16:41:41,0.382,23.7
0,0,0
0,0,0
16:41:43,0.382,23.7
0,0,0
0,0,0
16:41:45,0.382,23.7
0,0,0
0,0,0
16:41:47,0.382,23.7
0,0,0
0,0,0
16:41:49,0.382,23.7
0,0,0
0,0,0
16:41:51,0.382,23.7
0,0,0
0,0,0
16:41:53,0.382,23.7
0,0,0
0,0,0
16:41:55,0.382,23.7
0,0,0
0,0,0
16:41:57,0.382,23.7
0,0,0
0,0,0
16:41:59,0.382,23.7
0,0,0
0,0,0
16:42:01,0.382,23.7
0,0,0
0,0,0
16:42:03,0.382,23.7
0,0,0
0,0,0
16:42:05,0.382,23.7
0,0,0
0,0,0
16:42:07,0.382,23.7
0,0,0
0,0,0
16:42:09,0.382,23.7
0,0,0
0,0,0
16:42:11,0.382,23.7
0,0,0
0,0,0
16:42:13,0.382,23.7
0,0,0
0,0,0
16:42:15,0.382,23.7
0,0,0
0,0,0
16:42:17,0.383,23.7
0,0,0
0,0,0
16:42:19,0.383,23.7
0,0,0
0,0,0
16:42:21,0.383,23.7
0,0,0
0,0,0
16:42:23,0.383,23.7
0,0,0
0,0,0
16:42:25,0.382,23.7
0,0,0
0,0,0
16:42:27,0.382,23.7
0,0,0
0,0,0
16:42:29,0.382,23.7
0,0,0
0,0,0
16:42:31,0.382,23.7
0,0,0
0,0,0
16:42:33,0.382,23.7
0,0,0
0,0,0
16:42:35,0.382,23.7
0,0,0
0,0,0
16:42:37,0.382,23.7
0,0,0
0,0,0
16:42:39,0.382,23.7
0,0,0
0,0,0
16:42:41,0.382,23.7
0,0,0
0,0,0
16:42:43,0.382,23.7
0,0,0
0,0,0
