Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
13:46:47,1328.00,1459.74,20.25
13:46:48,1330.00,1454.35,20.50
13:46:49,1330.00,1454.35,20.50
13:46:50,1332.00,1456.53,20.50
13:46:51,1329.00,1460.84,20.25
13:46:52,1329.00,1453.25,20.50
13:46:53,1330.00,1439.39,21.00
13:46:54,1327.00,1451.07,20.50
13:46:55,1330.00,1446.83,20.75
13:46:56,1331.00,1463.04,20.25
13:46:57,1329.00,1460.84,20.25
13:46:57,1331.00,1447.92,20.75
13:46:58,1330.00,1446.83,20.75
13:46:59,1331.00,1455.44,20.50
13:47:00,1331.00,1447.92,20.75
13:47:01,1329.00,1445.74,20.75
13:47:02,1330.00,1454.35,20.50
13:47:03,1330.00,1454.35,20.50
13:47:04,1329.00,1453.25,20.50
13:47:05,1329.00,1476.26,19.75
13:47:06,1331.00,1470.72,20.00
13:47:07,1332.00,1471.82,20.00
13:47:08,1330.00,1454.35,20.50
13:47:09,1328.00,1452.16,20.50
13:47:10,1330.00,1469.61,20.00
13:47:11,1332.00,1464.14,20.25
13:47:12,1332.00,1456.53,20.50
13:47:13,1329.00,1453.25,20.50
13:47:14,1332.00,1471.82,20.00
13:47:15,1329.00,1460.84,20.25
13:47:16,1330.00,1469.61,20.00
13:47:17,1330.00,1461.94,20.25
13:47:18,1329.00,1453.25,20.50
13:47:19,1330.00,1469.61,20.00
13:47:20,1331.00,1455.44,20.50
13:47:21,1330.00,1454.35,20.50
13:47:22,1331.00,1470.72,20.00
13:47:23,1330.00,1461.94,20.25
13:47:24,1329.00,1460.84,20.25
13:47:25,1328.00,1444.66,20.75
13:47:26,1330.00,1461.94,20.25
13:47:27,1331.00,1478.48,19.75
13:47:28,1328.00,1475.15,19.75
13:47:29,1333.00,1480.70,19.75
13:47:30,1330.00,1461.94,20.25
13:47:31,1331.00,1470.72,20.00
13:47:32,1330.00,1469.61,20.00
13:47:33,1330.00,1469.61,20.00
13:47:34,1329.00,1468.51,20.00
13:47:35,1334.00,1466.34,20.25
13:47:36,1330.00,1461.94,20.25
13:47:37,1331.00,1463.04,20.25
13:47:38,1331.00,1463.04,20.25
13:47:39,1331.00,1455.44,20.50
13:47:40,1330.00,1469.61,20.00
13:47:40,1330.00,1477.37,19.75
13:47:41,1331.00,1455.44,20.50
13:47:42,1331.00,1455.44,20.50
13:47:43,1331.00,1447.92,20.75
13:47:44,1329.00,1460.84,20.25
13:47:45,1330.00,1461.94,20.25
13:47:46,1330.00,1461.94,20.25
13:47:47,1331.00,1455.44,20.50
13:47:48,1331.00,1463.04,20.25
13:47:49,1332.00,1456.53,20.50
13:47:50,1331.00,1447.92,20.75
13:47:51,1331.00,1440.48,21.00
13:47:52,1330.00,1461.94,20.25
13:47:53,1330.00,1439.39,21.00
13:47:54,1330.00,1439.39,21.00
13:47:55,1331.00,1447.92,20.75
13:47:56,1331.00,1447.92,20.75
13:47:57,1330.00,1446.83,20.75
13:47:58,1332.00,1449.01,20.75
13:47:59,1332.00,1449.01,20.75
13:48:00,1331.00,1455.44,20.50
13:48:01,1330.00,1454.35,20.50
13:48:02,1330.00,1454.35,20.50
13:48:03,1330.00,1446.83,20.75
13:48:04,1329.00,1468.51,20.00
13:48:05,1333.00,1457.63,20.50
13:48:06,1332.00,1464.14,20.25
13:48:07,1330.00,1446.83,20.75
13:48:08,1331.00,1447.92,20.75
13:48:09,1331.00,1447.92,20.75
13:48:10,1331.00,1447.92,20.75
13:48:11,1330.00,1485.20,19.50
13:48:12,1330.00,1461.94,20.25
13:48:13,1329.00,1476.26,19.75
13:48:14,1331.00,1478.48,19.75
13:48:15,1331.00,1463.04,20.25
13:48:16,1331.00,1463.04,20.25
13:48:17,1329.00,1468.51,20.00
13:48:18,1331.00,1455.44,20.50
13:48:19,1331.00,1455.44,20.50
13:48:20,1330.00,1454.35,20.50
13:48:21,1329.00,1476.26,19.75
13:48:22,1330.00,1469.61,20.00
13:48:23,1330.00,1461.94,20.25
13:48:23,1330.00,1469.61,20.00
13:48:24,1330.00,1454.35,20.50
13:48:25,1330.00,1469.61,20.00
13:48:26,1331.00,1470.72,20.00
13:48:27,1329.00,1460.84,20.25
13:48:28,1331.00,1470.72,20.00
13:48:29,1331.00,1455.44,20.50
13:48:30,1331.00,1470.72,20.00
13:48:31,1330.00,1469.61,20.00
13:48:32,1330.00,1454.35,20.50
13:48:33,1330.00,1461.94,20.25
13:48:34,1330.00,1454.35,20.50
13:48:35,1330.00,1454.35,20.50
13:48:36,1330.00,1454.35,20.50
13:48:37,1329.00,1453.25,20.50
13:48:38,1331.00,1440.48,21.00
13:48:39,1331.00,1433.11,21.25
13:48:40,1330.00,1439.39,21.00
13:48:41,1331.00,1455.44,20.50
13:48:42,1330.00,1446.83,20.75
13:48:43,1330.00,1446.83,20.75
13:48:44,1330.00,1454.35,20.50
13:48:45,1331.00,1447.92,20.75
13:48:46,1330.00,1454.35,20.50
13:48:47,1330.00,1446.83,20.75
13:48:48,1331.00,1463.04,20.25
13:48:49,1330.00,1461.94,20.25
13:48:50,1332.00,1456.53,20.50
13:48:51,1330.00,1461.94,20.25
13:48:52,1330.00,1469.61,20.00
13:48:53,1331.00,1463.04,20.25
13:48:54,1332.00,1479.59,19.75
13:48:55,1331.00,1470.72,20.00
13:48:56,1331.00,1470.72,20.00
13:48:57,1331.00,1470.72,20.00
13:48:58,1332.00,1471.82,20.00
13:48:59,1331.00,1478.48,19.75
13:49:00,1331.00,1478.48,19.75
13:49:01,1331.00,1455.44,20.50
13:49:02,1331.00,1447.92,20.75
13:49:03,1331.00,1447.92,20.75
13:49:04,1332.00,1464.14,20.25
13:49:05,1331.00,1440.48,21.00
13:49:06,1331.00,1447.92,20.75
13:49:07,1333.00,1450.10,20.75
13:49:07,1330.00,1446.83,20.75
13:49:08,1331.00,1455.44,20.50
13:49:09,1331.00,1447.92,20.75
13:49:10,1332.00,1464.14,20.25
13:49:11,1331.00,1455.44,20.50
13:49:12,1330.00,1469.61,20.00
13:49:13,1332.00,1464.14,20.25
13:49:14,1332.00,1471.82,20.00
13:49:15,1331.00,1463.04,20.25
13:49:16,1331.00,1470.72,20.00
13:49:17,1331.00,1463.04,20.25
13:49:19,1331.00,1478.48,19.75
13:49:19,1331.00,1470.72,20.00
13:49:20,1330.00,1454.35,20.50
13:49:21,1331.00,1470.72,20.00
13:49:22,1331.00,1455.44,20.50
13:49:23,1331.00,1470.72,20.00
13:49:24,1331.00,1455.44,20.50
13:49:25,1332.00,1456.53,20.50
13:49:26,1331.00,1463.04,20.25
13:49:27,1331.00,1440.48,21.00
13:49:28,1331.00,1455.44,20.50
13:49:29,1331.00,1463.04,20.25
13:49:30,1331.00,1455.44,20.50
13:49:31,1332.00,1456.53,20.50
13:49:32,1331.00,1455.44,20.50
13:49:33,1331.00,1440.48,21.00
13:49:34,1332.00,1456.53,20.50
13:49:35,1331.00,1447.92,20.75
13:49:36,1331.00,1455.44,20.50
13:49:37,1331.00,1463.04,20.25
13:49:38,1331.00,1463.04,20.25
13:49:39,1331.00,1455.44,20.50
13:49:40,1330.00,1454.35,20.50
13:49:41,1331.00,1463.04,20.25
13:49:42,1332.00,1464.14,20.25
13:49:43,1330.00,1469.61,20.00
13:49:44,1330.00,1469.61,20.00
13:49:45,1331.00,1470.72,20.00
13:49:46,1332.00,1471.82,20.00
13:49:47,1331.00,1463.04,20.25
13:49:48,1331.00,1455.44,20.50
13:49:49,1331.00,1463.04,20.25
13:49:49,1332.00,1464.14,20.25
13:49:50,1331.00,1478.48,19.75
13:49:51,1332.00,1464.14,20.25
13:49:52,1331.00,1455.44,20.50
13:49:53,1333.00,1472.93,20.00
13:49:54,1331.00,1470.72,20.00
13:49:55,1332.00,1471.82,20.00
13:49:56,1332.00,1479.59,19.75
13:49:57,1333.00,1465.24,20.25
13:49:58,1332.00,1456.53,20.50
13:49:59,1331.00,1463.04,20.25
13:50:00,1332.00,1456.53,20.50
13:50:01,1333.00,1465.24,20.25
13:50:02,1333.00,1465.24,20.25
13:50:03,1332.00,1456.53,20.50
13:50:04,1332.00,1464.14,20.25
13:50:05,1332.00,1456.53,20.50
13:50:06,1333.00,1450.10,20.75
13:50:07,1331.00,1447.92,20.75
13:50:08,1332.00,1456.53,20.50
13:50:09,1331.00,1455.44,20.50
13:50:10,1332.00,1464.14,20.25
13:50:11,1332.00,1441.56,21.00
13:50:12,1331.00,1440.48,21.00
13:50:13,1332.00,1449.01,20.75
13:50:14,1333.00,1450.10,20.75
13:50:15,1331.00,1447.92,20.75
13:50:16,1332.00,1456.53,20.50
13:50:17,1333.00,1465.24,20.25
13:50:18,1333.00,1465.24,20.25
13:50:19,1332.00,1441.56,21.00
13:50:20,1332.00,1449.01,20.75
13:50:21,1332.00,1449.01,20.75
13:50:22,1332.00,1464.14,20.25
13:50:23,1331.00,1440.48,21.00
13:50:24,1332.00,1449.01,20.75
13:50:25,1333.00,1465.24,20.25
13:50:26,1332.00,1464.14,20.25
13:50:27,1331.00,1455.44,20.50
13:50:28,1332.00,1456.53,20.50
13:50:29,1331.00,1440.48,21.00
13:50:30,1332.00,1471.82,20.00
13:50:31,1332.00,1456.53,20.50
13:50:32,1332.00,1449.01,20.75
13:50:33,1332.00,1456.53,20.50
13:50:33,1332.00,1456.53,20.50
13:50:34,1331.00,1455.44,20.50
13:50:35,1331.00,1463.04,20.25
13:50:36,1332.00,1456.53,20.50
13:50:37,1332.00,1456.53,20.50
13:50:38,1331.00,1455.44,20.50
13:50:39,1331.00,1470.72,20.00
13:50:40,1332.00,1471.82,20.00
13:50:41,1332.00,1464.14,20.25
13:50:42,1333.00,1465.24,20.25
13:50:43,1331.00,1463.04,20.25
13:50:44,1332.00,1471.82,20.00
13:50:45,1333.00,1472.93,20.00
13:50:46,1331.00,1463.04,20.25
13:50:47,1331.00,1470.72,20.00
13:50:48,1333.00,1465.24,20.25
13:50:49,1332.00,1471.82,20.00
13:50:50,1333.00,1465.24,20.25
13:50:51,1331.00,1470.72,20.00
13:50:52,1331.00,1470.72,20.00
13:50:53,1333.00,1465.24,20.25
13:50:54,1332.00,1479.59,19.75
13:50:55,1333.00,1457.63,20.50
13:50:56,1332.00,1471.82,20.00
13:50:57,1333.00,1465.24,20.25
13:50:58,1332.00,1464.14,20.25
13:50:59,1332.00,1479.59,19.75
13:51:00,1332.00,1479.59,19.75
13:51:01,1333.00,1472.93,20.00
13:51:02,1332.00,1464.14,20.25
13:51:03,1332.00,1471.82,20.00
13:51:04,1332.00,1479.59,19.75
13:51:05,1332.00,1456.53,20.50
13:51:06,1333.00,1457.63,20.50
13:51:07,1331.00,1455.44,20.50
13:51:08,1332.00,1456.53,20.50
13:51:09,1334.00,1458.72,20.50
13:51:10,1333.00,1442.64,21.00
13:51:11,1332.00,1449.01,20.75
13:51:12,1332.00,1449.01,20.75
13:51:13,1334.00,1443.72,21.00
13:51:14,1333.00,1450.10,20.75
13:51:15,1333.00,1442.64,21.00
13:51:16,1332.00,1441.56,21.00
13:51:16,1333.00,1457.63,20.50
13:51:17,1333.00,1457.63,20.50
13:51:18,1331.00,1440.48,21.00
13:51:20,1332.00,1449.01,20.75
13:51:20,1333.00,1465.24,20.25
13:51:21,1333.00,1450.10,20.75
13:51:22,1332.00,1456.53,20.50
13:51:23,1331.00,1455.44,20.50
13:51:24,1333.00,1457.63,20.50
13:51:25,1333.00,1450.10,20.75
13:51:26,1331.00,1463.04,20.25
13:51:27,1332.00,1464.14,20.25
13:51:28,1333.00,1457.63,20.50
13:51:29,1333.00,1480.70,19.75
13:51:30,1332.00,1487.44,19.50
13:51:31,1332.00,1464.14,20.25
13:51:32,1333.00,1488.55,19.50
13:51:33,1334.00,1466.34,20.25
13:51:34,1333.00,1465.24,20.25
13:51:35,1332.00,1479.59,19.75
13:51:36,1333.00,1465.24,20.25
13:51:37,1333.00,1465.24,20.25
13:51:38,1333.00,1472.93,20.00
13:51:39,1333.00,1472.93,20.00
13:51:40,1333.00,1465.24,20.25
13:51:41,1334.00,1466.34,20.25
13:51:42,1332.00,1464.14,20.25
13:51:43,1332.00,1449.01,20.75
13:51:44,1333.00,1465.24,20.25
13:51:45,1333.00,1465.24,20.25
13:51:46,1332.00,1456.53,20.50
13:51:47,1332.00,1456.53,20.50
13:51:48,1333.00,1472.93,20.00
13:51:49,1333.00,1465.24,20.25
13:51:50,1332.00,1456.53,20.50
13:51:51,1333.00,1457.63,20.50
13:51:52,1332.00,1456.53,20.50
13:51:53,1333.00,1450.10,20.75
13:51:54,1332.00,1456.53,20.50
13:51:55,1332.00,1449.01,20.75
13:51:56,1332.00,1449.01,20.75
13:51:57,1332.00,1441.56,21.00
13:51:58,1333.00,1442.64,21.00
13:51:59,1331.00,1440.48,21.00
13:52:00,1332.00,1441.56,21.00
13:52:00,1333.00,1435.26,21.25
13:52:01,1333.00,1435.26,21.25
13:52:02,1333.00,1442.64,21.00
13:52:03,1333.00,1435.26,21.25
13:52:04,1333.00,1435.26,21.25
13:52:05,1333.00,1435.26,21.25
13:52:06,1332.00,1449.01,20.75
13:52:07,1332.00,1441.56,21.00
13:52:08,1332.00,1449.01,20.75
13:52:09,1334.00,1443.72,21.00
13:52:10,1333.00,1450.10,20.75
13:52:11,1333.00,1442.64,21.00
13:52:12,1333.00,1450.10,20.75
13:52:13,1333.00,1450.10,20.75
13:52:14,1333.00,1450.10,20.75
13:52:15,1331.00,1447.92,20.75
13:52:16,1333.00,1442.64,21.00
13:52:17,1333.00,1457.63,20.50
13:52:18,1332.00,1456.53,20.50
13:52:19,1332.00,1449.01,20.75
13:52:20,1333.00,1450.10,20.75
13:52:21,1333.00,1442.64,21.00
13:52:22,1333.00,1442.64,21.00
13:52:23,1333.00,1450.10,20.75
13:52:24,1333.00,1442.64,21.00
13:52:25,1332.00,1449.01,20.75
13:52:26,1332.00,1449.01,20.75
13:52:27,1332.00,1471.82,20.00
13:52:28,1334.00,1451.18,20.75
13:52:29,1333.00,1457.63,20.50
13:52:30,1332.00,1471.82,20.00
13:52:31,1333.00,1465.24,20.25
13:52:32,1333.00,1465.24,20.25
13:52:33,1333.00,1465.24,20.25
13:52:34,1333.00,1465.24,20.25
13:52:35,1332.00,1464.14,20.25
13:52:36,1333.00,1450.10,20.75
13:52:37,1333.00,1450.10,20.75
13:52:38,1333.00,1457.63,20.50
13:52:39,1332.00,1449.01,20.75
13:52:40,1333.00,1457.63,20.50
13:52:41,1334.00,1466.34,20.25
13:52:42,1333.00,1480.70,19.75
13:52:43,1332.00,1471.82,20.00
13:52:43,1333.00,1450.10,20.75
13:52:44,1333.00,1457.63,20.50
13:52:45,1333.00,1442.64,21.00
13:52:46,1332.00,1449.01,20.75
13:52:47,1333.00,1450.10,20.75
13:52:48,1333.00,1457.63,20.50
13:52:49,1333.00,1457.63,20.50
13:52:50,1331.00,1478.48,19.75
13:52:51,1333.00,1472.93,20.00
13:52:52,1334.00,1474.03,20.00
13:52:53,1333.00,1450.10,20.75
13:52:54,1333.00,1442.64,21.00
13:52:55,1334.00,1436.34,21.25
13:52:56,1334.00,1451.18,20.75
13:52:57,1333.00,1435.26,21.25
13:52:58,1332.00,1449.01,20.75
13:52:59,1332.00,1471.82,20.00
13:53:00,1331.00,1470.72,20.00
13:53:01,1333.00,1472.93,20.00
13:53:02,1332.00,1471.82,20.00
13:53:03,1332.00,1487.44,19.50
13:53:04,1333.00,1472.93,20.00
13:53:05,1332.00,1449.01,20.75
13:53:06,1332.00,1464.14,20.25
13:53:07,1332.00,1456.53,20.50
13:53:08,1334.00,1458.72,20.50
13:53:09,1332.00,1441.56,21.00
13:53:10,1331.00,1455.44,20.50
13:53:11,1332.00,1471.82,20.00
13:53:12,1333.00,1472.93,20.00
13:53:13,1333.00,1465.24,20.25
13:53:14,1332.00,1464.14,20.25
13:53:15,1332.00,1471.82,20.00
13:53:16,1332.00,1464.14,20.25
13:53:17,1333.00,1465.24,20.25
13:53:18,1332.00,1456.53,20.50
13:53:19,1332.00,1449.01,20.75
13:53:20,1334.00,1443.72,21.00
13:53:21,1333.00,1442.64,21.00
13:53:22,1332.00,1449.01,20.75
13:53:23,1332.00,1464.14,20.25
13:53:24,1333.00,1457.63,20.50
13:53:25,1334.00,1458.72,20.50
13:53:26,1332.00,1479.59,19.75
13:53:27,1333.00,1480.70,19.75
13:53:27,1333.00,1465.24,20.25
13:53:28,1332.00,1464.14,20.25
13:53:29,1333.00,1457.63,20.50
13:53:30,1332.00,1441.56,21.00
13:53:31,1333.00,1457.63,20.50
13:53:32,1333.00,1450.10,20.75
13:53:33,1333.00,1472.93,20.00
13:53:34,1333.00,1465.24,20.25
13:53:35,1334.00,1458.72,20.50
13:53:36,1333.00,1465.24,20.25
13:53:37,1331.00,1463.04,20.25
13:53:38,1333.00,1450.10,20.75
13:53:39,1333.00,1435.26,21.25
13:53:40,1332.00,1449.01,20.75
13:53:41,1332.00,1441.56,21.00
13:53:42,1333.00,1457.63,20.50
13:53:43,1333.00,1457.63,20.50
13:53:44,1334.00,1458.72,20.50
13:53:45,1333.00,1480.70,19.75
13:53:46,1332.00,1464.14,20.25
13:53:47,1333.00,1450.10,20.75
13:53:48,1334.00,1443.72,21.00
13:53:49,1333.00,1457.63,20.50
13:53:50,1332.00,1456.53,20.50
13:53:51,1333.00,1457.63,20.50
13:53:52,1333.00,1465.24,20.25
13:53:53,1333.00,1472.93,20.00
13:53:54,1333.00,1457.63,20.50
13:53:55,1333.00,1465.24,20.25
13:53:56,1333.00,1457.63,20.50
13:53:57,1333.00,1457.63,20.50
13:53:58,1333.00,1465.24,20.25
13:53:59,1333.00,1457.63,20.50
13:54:00,1333.00,1465.24,20.25
