Time,Conductivity (mS),Temperature (C)  
15:56:54,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:56:56,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:56:58,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:00,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:02,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:04,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:06,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:08,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:10,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:12,0.303,22.3
00:00:00,0,0
00:00:00,0,0
15:57:14,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:16,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:18,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:20,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:22,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:24,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:26,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:28,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:30,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:32,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:34,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:36,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:38,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:40,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:42,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:44,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:46,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:48,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:50,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:52,0.302,22.3
00:00:00,0,0
00:00:00,0,0
15:57:54,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:57:56,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:57:58,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:00,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:02,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:04,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:06,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:08,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:10,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:12,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:14,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:16,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:18,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:20,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:22,0.301,22.3
00:00:00,0,0
00:00:00,0,0
15:58:24,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:26,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:28,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:30,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:32,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:34,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:36,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:38,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:40,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:42,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:44,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:46,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:48,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:50,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:52,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:54,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:56,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:58:58,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:59:00,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:59:02,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:59:04,0.3,22.3
00:00:00,0,0
00:00:00,0,0
15:59:06,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:08,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:10,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:12,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:14,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:16,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:18,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:20,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:22,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:24,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:26,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:28,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:30,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:32,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:34,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:36,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:38,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:40,0.299,22.3
00:00:00,0,0
00:00:00,0,0
15:59:42,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:44,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:46,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:48,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:50,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:52,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:54,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:56,0.298,22.3
00:00:00,0,0
00:00:00,0,0
15:59:58,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:00,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:02,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:04,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:06,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:08,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:10,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:12,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:14,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:16,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:18,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:20,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:22,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:24,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:26,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:28,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:30,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:32,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:34,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:36,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:38,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:40,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:42,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:00:44,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:46,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:48,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:50,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:52,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:54,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:56,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:00:58,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:00,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:02,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:04,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:06,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:08,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:10,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:12,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:14,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:16,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:18,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:20,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:22,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:24,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:26,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:28,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:30,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:32,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:01:34,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:36,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:38,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:40,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:42,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:44,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:46,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:48,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:50,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:01:52,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:54,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:01:56,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:01:58,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:02:00,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:02:02,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:02:04,0.297,22.3
00:00:00,0,0
00:00:00,0,0
16:02:06,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:02:08,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:02:10,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:02:12,0.297,22.2
00:00:00,0,0
00:00:00,0,0
16:02:14,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:02:16,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:18,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:20,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:22,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:24,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:26,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:28,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:30,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:32,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:34,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:36,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:38,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:40,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:42,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:44,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:46,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:48,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:50,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:52,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:54,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:56,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:02:58,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:00,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:02,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:04,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:06,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:08,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:10,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:12,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:14,0.298,22.3
00:00:00,0,0
00:00:00,0,0
16:03:16,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:18,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:20,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:22,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:24,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:26,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:28,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:30,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:32,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:34,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:36,0.298,22.2
00:00:00,0,0
00:00:00,0,0
16:03:38,0.298,22.2
