Time,Conductivty,Temperature
13:48:16,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:18,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:20,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:22,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:24,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:26,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:28,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:30,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:32,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:34,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:36,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:38,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:40,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:42,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:44,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:46,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:48,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:50,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:52,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:54,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:56,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:48:58,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:00,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:02,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:04,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:06,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:08,0.404,20.1
00:00:00,0,0
00:00:00,0,0
13:49:10,0.404,20.1
00:00:00,0,0
00:00:00,0,0
13:49:12,0.404,20.1
00:00:00,0,0
00:00:00,0,0
13:49:14,0.404,20.1
00:00:00,0,0
00:00:00,0,0
13:49:16,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:18,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:20,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:22,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:24,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:26,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:28,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:30,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:32,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:34,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:36,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:38,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:40,0.405,20.1
00:00:00,0,0
00:00:00,0,0
13:49:42,0.405,20.1
