Time,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in
11:42:17,0,0,23.5,0,0,24
11:42:18,0,0,23.5,0.45,0.46,23.5
11:42:19,0,0,23.5,0,0,23.25
11:42:20,0,0,22.75,0.45,0.46,23.75
11:42:21,0,0,23,0.45,0.46,23.75
11:42:22,0,0,23.5,0,0,23.5
11:42:23,0,0,23.25,0.45,0.47,23.25
11:42:24,0,0,22.75,0.84,0.86,23.5
11:42:25,0,0,22.75,0,0,23
11:42:26,0,0,23,0.84,0.86,23.5
11:42:27,0,0,23.5,0.45,0.46,23.5
11:42:28,0,0,23,0,0,23.5
11:42:29,0,0,22.75,0.45,0.46,23.75
11:42:30,0,0,23,0,0,23.5
11:42:31,0,0,23.5,0,0,23.75
11:42:32,0,0,23,0.84,0.87,23.25
11:42:33,0,0,23,0.84,0.87,23.25
11:42:34,0,0,23.25,0,0,23.5
11:42:35,0,0,23.25,0,0,23.25
11:42:36,0,0,23.25,0.45,0.46,23.5
11:42:37,0,0,23,0.45,0.46,23.5
11:45:03,0,0,23.25,2.17,2.22,23.75
11:45:04,0,0,23.25,0.84,0.86,23.5
11:45:05,0,0,23.5,0.84,0.86,23.5
11:45:06,0,0,23,1.28,1.31,23.75
11:45:07,0,0,23.5,1.73,1.78,23.5
11:45:08,0,0,23.5,1.73,1.78,23.5
11:45:09,0,0,23.75,1.73,1.78,23.5
11:45:10,0,0,23.5,1.73,1.78,23.5
11:45:11,0,0,23.75,2.17,2.26,23
11:45:12,0,0,23.5,1.28,1.32,23.5
11:45:13,0,0,23.25,1.73,1.78,23.5
11:45:14,0,0,23.5,1.28,1.32,23.25
11:45:15,0,0,23.25,1.28,1.32,23.25
11:45:16,0,0,23.5,1.28,1.31,23.75
11:45:17,0,0,23.5,2.17,2.21,24
11:45:18,0,0,23.25,1.28,1.32,23.5
11:45:19,0,0,23.5,3.01,3.11,23.25
11:45:20,0,0,23.5,2.17,2.23,23.5
11:45:21,0,0,23.5,1.73,1.77,23.75
11:45:22,0,0,23.25,2.62,2.71,23.25
11:45:23,0,0,23.5,2.62,2.7,23.5
11:45:24,0,0,23.5,1.28,1.32,23.5
11:45:25,0,0,23.5,2.17,2.24,23.25
11:45:26,0,0,23.5,0.84,0.86,23.75
11:45:27,0,0,23.5,3.01,3.13,23
11:45:28,0,0,23.25,2.17,2.23,23.5
11:45:29,0,0,23.25,0.84,0.87,23
11:45:30,0,0,22.75,3.01,3.1,23.5
11:45:31,0,0,23.5,1.73,1.77,23.75
11:45:32,0,0,23,1.73,1.78,23.5
11:45:33,0,0,23.75,1.73,1.79,23.25
11:45:34,0,0,22.75,0,0,23.5
11:45:35,0,0,23.5,1.73,1.78,23.5
11:45:36,0,0,23.25,1.28,1.32,23.25
11:45:37,0,0,23.25,1.28,1.32,23.5
11:45:38,0,0,22.75,1.73,1.78,23.5
11:45:39,0,0,23.5,1.28,1.32,23.25
11:45:40,0,0,23.5,1.28,1.32,23.5
11:45:41,0,0,23.5,1.73,1.77,23.75
11:45:42,0,0,23.5,1.73,1.78,23.5
11:45:43,0,0,23.75,1.28,1.32,23.25
11:45:44,0,0,23.75,1.73,1.77,23.75
11:45:45,0,0,23.5,1.73,1.78,23.5
11:45:46,0,0,23.5,2.62,2.68,23.75
11:45:46,0,0,23.5,1.28,1.32,23.25
11:45:47,0,0,23.75,2.17,2.24,23.25
11:45:49,0,0,23,1.28,1.32,23.25
11:45:49,0,0,23.5,1.28,1.31,23.75
11:45:50,0,0,23.25,3.01,3.1,23.5
11:45:51,0,0,23.5,2.62,2.7,23.5
11:45:52,0,0,23.25,2.62,2.7,23.5
11:45:53,0,0,23.25,1.73,1.77,23.75
11:45:54,0,0,23.5,1.73,1.78,23.5
11:45:55,0,0,23.5,2.17,2.22,23.75
11:45:56,0,0,23,3.01,3.13,23
11:45:57,0,0,23.5,1.73,1.79,23.25
11:45:58,0,0,23.5,3.01,3.1,23.5
11:45:59,0,0,23.5,1.73,1.78,23.5
11:46:00,0,0,22.75,1.73,1.78,23.5
11:46:01,0,0,23.25,2.62,2.7,23.5
11:46:02,0,0,23.25,0.84,0.87,23
11:46:03,0,0,24,2.17,2.23,23.5
11:46:04,0,0,23.75,2.62,2.71,23.25
11:46:05,0,0,23.5,1.73,1.79,23.25
11:46:06,0,0,23.5,1.28,1.32,23.25
11:46:07,0,0,23.75,1.73,1.78,23.5
11:46:08,0,0,23.25,0.84,0.86,23.5
11:46:09,0,0,23.25,1.28,1.3,24
11:46:10,0,0,23.5,1.28,1.32,23.5
11:46:11,0,0,23.5,1.73,1.77,23.75
11:46:12,0,0,23.5,3.01,3.1,23.5
11:46:13,0,0,23.75,5.24,5.42,23.25
11:46:14,0,0,22.75,6.08,6.23,23.75
11:46:15,0,0,23.25,7.41,7.63,23.5
11:46:16,0,0,23.5,9.14,9.36,23.75
11:46:17,0,0,23.25,10.87,11.19,23.5
11:46:18,0,0,23.25,11.32,11.65,23.5
11:46:19,0,0,23.5,11.78,12.13,23.5
11:46:20,0,0,23,13.5,13.9,23.5
11:46:21,0,0,23.5,14.4,14.9,23.25
11:46:22,0,0,23.25,15.68,16.22,23.25
11:46:23,0,0,23.5,17.41,18.01,23.25
11:46:24,0,0,23,18.31,18.94,23.25
11:46:25,0,0,23,20.49,21.09,23.5
11:46:26,0,0,23.5,22.22,22.87,23.5
11:46:27,0,0,23.25,23.96,24.78,23.25
11:46:28,0,0,23.25,25.3,26.04,23.5
11:46:29,0,0,23.5,27.01,27.94,23.25
11:46:30,0,0,23.25,28.36,29.19,23.5
11:46:30,0,0,23.25,29.19,30.19,23.25
11:46:31,0,0,23.5,30.53,31.43,23.5
11:46:32,0,0,23.5,31.4,32.32,23.5
11:46:33,0,0,23.25,31.87,32.8,23.5
11:46:34,0,0,23,33.19,34.33,23.25
11:46:35,0,0,23.5,34.48,35.49,23.5
11:46:36,0,0,22.75,35.75,36.98,23.25
11:46:37,0,0,23.5,35.8,37.03,23.25
11:46:38,0,0,22.75,38.37,39.5,23.5
11:46:39,0,0,23.25,37.15,38.62,23
11:46:40,0,0,23.25,38.86,40.2,23.25
11:46:41,0,0,23.5,40.17,41.55,23.25
11:46:42,0,0,23.5,40.57,41.56,23.75
11:46:43,0,0,23.5,40.6,41.79,23.5
11:46:44,0,0,23.5,41.49,42.71,23.5
11:46:45,0,0,23.75,41.95,43.18,23.5
11:46:46,0,0,23.25,42.43,43.67,23.5
11:46:47,0,0,23.5,42.82,44.08,23.5
11:46:48,0,0,23.25,44.13,45.42,23.5
11:46:49,0,0,23.75,44.17,45.47,23.5
11:46:50,0,0,23.25,46.33,48.4,22.75
11:46:51,0,0,22.75,46.79,48.4,23.25
11:46:52,0,0,23.5,47.65,49.05,23.5
11:46:53,0,0,23.5,49.44,50.89,23.5
11:46:54,0,0,23.25,50.29,51.77,23.5
11:46:55,0,0,23.5,52.01,54.33,22.75
11:46:56,0,0,23.5,53.37,54.94,23.5
11:46:57,0,0,23.25,54.67,56.55,23.25
11:46:58,0,0,23.5,56.42,58.36,23.25
11:46:59,0,0,23.5,57.77,59.46,23.5
11:47:00,0,0,23,58.7,60.72,23.25
11:47:01,0,0,23.25,60.87,62.96,23.25
11:47:02,0,0,23.5,63.47,65.65,23.25
11:47:03,0,0,23.25,63.58,65.45,23.5
11:47:04,0,0,23.25,68.28,70.98,23
11:47:05,0,0,23.5,70.47,72.54,23.5
11:47:06,0,0,23,70.64,72.71,23.5
11:47:07,0,0,23.25,73.6,76.13,23.25
11:47:08,0,0,23.5,75.8,78.79,23
11:47:09,0,0,23.75,78,80.29,23.5
11:47:10,0,0,23.25,79.82,81.76,23.75
11:47:11,0,0,23.25,82.02,84.43,23.5
11:47:12,0,0,23,84.26,86.31,23.75
11:47:13,0,0,23.5,86.83,89.38,23.5
11:47:14,0,0,23.25,89.1,91.71,23.5
11:47:15,0,0,22.75,92.13,94.37,23.75
11:47:16,0,0,23.5,94.35,97.6,23.25
11:47:17,0,0,23.25,97.44,99.81,23.75
11:47:18,0,0,23.5,98.91,102.31,23.25
11:47:19,0,0,23,103.7,107.8,23
11:47:20,0,0,23.25,106.7,109.3,23.75
11:47:20,0,0,23.5,107.8,110.96,23.5
11:47:21,0,0,23.25,111.7,114.42,23.75
11:47:22,0,0,23.75,116,119.4,23.5
11:47:23,0,0,22.75,118.9,122.39,23.5
11:47:24,0,0,23,124.1,127.74,23.5
11:47:25,0,0,23.25,128.6,132.37,23.5
11:47:26,0,0,23,134.5,138.45,23.5
11:47:27,0,0,23.25,140.2,145.02,23.25
11:47:28,0,0,23,146.1,150.39,23.5
11:47:29,0,0,23.5,151,156.19,23.25
11:47:30,0,0,23.25,157.7,163.12,23.25
11:47:31,0,0,23.5,164.5,170.16,23.25
11:47:32,0,0,23,171.2,176.22,23.5
11:47:33,0,0,23,177.6,182.81,23.5
