Time,Conductivity (mS),Temperature (C)
13:29:15,14.1,20.8
0,0,0
0,0,0
13:29:17,14.3,20.5
0,0,0
0,0,0
13:29:19,14.8,20.5
0,0,0
0,0,0
13:29:21,14.8,20.2
0,0,0
0,0,0
13:29:23,15.3,20
0,0,0
0,0,0
13:29:25,15.8,19.9
0,0,0
0,0,0
13:29:27,16.3,19.8
0,0,0
0,0,0
13:29:29,16.8,19.7
0,0,0
0,0,0
13:29:31,17.3,19.6
0,0,0
0,0,0
13:29:33,17.8,19.6
0,0,0
0,0,0
13:29:35,18.3,19.6
0,0,0
0,0,0
13:29:37,18.8,19.5
0,0,0
0,0,0
13:29:39,18.8,19.5
0,0,0
0,0,0
13:29:41,19.3,19.5
0,0,0
0,0,0
13:29:43,19.7,19.4
0,0,0
0,0,0
13:29:45,20.3,19.4
0,0,0
0,0,0
13:29:47,20.8,19.4
0,0,0
0,0,0
13:29:49,21.3,19.4
0,0,0
0,0,0
13:29:51,21.6,19.4
0,0,0
0,0,0
13:29:53,21.9,19.4
0,0,0
0,0,0
13:29:55,21.9,19.3
0,0,0
0,0,0
13:29:57,22.3,19.3
0,0,0
0,0,0
13:29:59,22.7,19.3
0,0,0
0,0,0
13:30:01,23.1,19.3
0,0,0
0,0,0
13:30:03,23.6,19.3
0,0,0
0,0,0
13:30:05,24,19.3
0,0,0
0,0,0
13:30:07,24.4,19.3
0,0,0
0,0,0
13:30:09,24.8,19.3
0,0,0
0,0,0
13:30:11,25.2,19.3
0,0,0
0,0,0
13:30:13,25.2,19.3
0,0,0
0,0,0
13:30:15,25.6,19.3
0,0,0
0,0,0
13:30:17,26,19.3
0,0,0
0,0,0
13:30:19,26.5,19.3
0,0,0
0,0,0
13:30:21,26.9,19.3
0,0,0
0,0,0
13:30:23,27.3,19.3
0,0,0
0,0,0
13:30:25,27.7,19.3
0,0,0
0,0,0
13:30:27,28,19.3
0,0,0
0,0,0
13:30:29,28.4,19.3
0,0,0
0,0,0
13:30:31,28.7,19.3
0,0,0
0,0,0
13:30:33,29,19.3
0,0,0
0,0,0
13:30:35,29.3,19.3
0,0,0
0,0,0
13:30:37,29.3,19.3
0,0,0
0,0,0
13:30:39,29.5,19.3
0,0,0
0,0,0
13:30:41,29.8,19.3
0,0,0
0,0,0
13:30:43,30.1,19.3
0,0,0
0,0,0
13:30:45,30.5,19.3
0,0,0
0,0,0
13:30:47,30.8,19.3
0,0,0
0,0,0
13:30:49,31.1,19.3
0,0,0
0,0,0
13:30:51,31.3,19.3
0,0,0
0,0,0
13:30:53,31.6,19.3
0,0,0
0,0,0
13:30:55,31.8,19.3
0,0,0
0,0,0
13:30:57,32.1,19.3
0,0,0
0,0,0
13:30:59,32.1,19.3
0,0,0
0,0,0
13:31:01,32.3,19.3
0,0,0
0,0,0
13:31:03,32.6,19.3
0,0,0
0,0,0
13:31:05,32.8,19.3
0,0,0
0,0,0
13:31:07,32.9,19.3
0,0,0
0,0,0
13:31:09,33.1,19.3
0,0,0
0,0,0
13:31:11,33.3,19.3
0,0,0
0,0,0
13:31:13,33.4,19.3
0,0,0
0,0,0
13:31:15,33.5,19.3
0,0,0
0,0,0
13:31:17,33.5,19.3
0,0,0
0,0,0
13:31:19,33.3,19.3
0,0,0
0,0,0
13:31:21,34.1,19.3
0,0,0
0,0,0
13:31:23,34.1,19.3
0,0,0
0,0,0
13:31:25,34.1,19.3
0,0,0
0,0,0
13:31:27,34.2,19.3
0,0,0
0,0,0
13:31:29,34.3,19.3
0,0,0
0,0,0
13:31:31,34.5,19.3
0,0,0
0,0,0
13:31:33,34.6,19.3
0,0,0
0,0,0
13:31:35,34.6,19.3
0,0,0
0,0,0
13:31:37,34.6,19.3
0,0,0
0,0,0
13:31:39,34.7,19.3
0,0,0
0,0,0
13:31:41,34.8,19.3
0,0,0
0,0,0
13:31:43,34.9,19.4
0,0,0
0,0,0
13:31:45,35,19.4
0,0,0
0,0,0
13:31:47,35,19.4
0,0,0
0,0,0
13:31:49,35,19.4
0,0,0
0,0,0
13:31:51,35.1,19.4
0,0,0
0,0,0
13:31:53,35.1,19.4
0,0,0
0,0,0
13:31:55,35.1,19.4
0,0,0
0,0,0
13:31:57,35.1,19.4
0,0,0
0,0,0
13:31:59,35.2,19.4
0,0,0
0,0,0
13:32:01,35.2,19.4
0,0,0
0,0,0
13:32:03,35.2,19.4
0,0,0
0,0,0
13:32:05,35.3,19.4
0,0,0
0,0,0
13:32:07,35.3,19.4
0,0,0
0,0,0
13:32:09,35.3,19.4
0,0,0
0,0,0
13:32:11,35.4,19.4
0,0,0
0,0,0
13:32:13,35.4,19.4
0,0,0
0,0,0
13:32:15,35.4,19.4
0,0,0
0,0,0
13:32:17,35.4,19.4
0,0,0
0,0,0
13:32:19,35.4,19.5
0,0,0
0,0,0
13:32:21,35.4,19.5
0,0,0
0,0,0
13:32:23,35.4,19.5
0,0,0
0,0,0
13:32:25,35.4,19.5
0,0,0
0,0,0
13:32:27,35.4,19.5
0,0,0
0,0,0
13:32:29,35.4,19.5
0,0,0
0,0,0
13:32:31,35.5,19.5
0,0,0
0,0,0
13:32:33,35.5,19.5
0,0,0
0,0,0
13:32:35,35.5,19.5
0,0,0
0,0,0
13:32:37,35.5,19.5
0,0,0
0,0,0
13:32:39,35.5,19.5
0,0,0
0,0,0
13:32:41,35.5,19.5
0,0,0
0,0,0
13:32:43,35.5,19.5
0,0,0
0,0,0
13:32:45,35.5,19.5
0,0,0
0,0,0
13:32:47,35.5,19.5
0,0,0
0,0,0
13:32:49,35.5,19.5
0,0,0
0,0,0
13:32:51,35.5,19.5
0,0,0
0,0,0
13:32:53,35.6,19.5
0,0,0
0,0,0
13:32:55,35.6,19.5
0,0,0
0,0,0
13:32:57,35.6,19.6
0,0,0
0,0,0
13:32:59,35.5,19.6
0,0,0
0,0,0
13:33:01,35.5,19.6
0,0,0
0,0,0
13:33:03,35.5,19.6
0,0,0
0,0,0
13:33:05,35.5,19.6
0,0,0
0,0,0
13:33:07,35.5,19.6
0,0,0
0,0,0
13:33:09,35.5,19.6
0,0,0
0,0,0
13:33:11,35.5,19.6
0,0,0
0,0,0
13:33:13,35.5,19.6
0,0,0
0,0,0
13:33:15,35.5,19.6
0,0,0
0,0,0
13:33:17,35.6,19.6
0,0,0
0,0,0
13:33:19,35.6,19.6
0,0,0
0,0,0
13:33:21,35.6,19.6
0,0,0
0,0,0
13:33:23,35.6,19.6
0,0,0
0,0,0
13:33:25,35.6,19.6
0,0,0
0,0,0
13:33:27,35.6,19.6
0,0,0
0,0,0
13:33:29,35.6,19.6
0,0,0
0,0,0
13:33:31,35.6,19.6
0,0,0
0,0,0
13:33:33,35.6,19.6
0,0,0
0,0,0
13:33:35,35.6,19.7
0,0,0
0,0,0
13:33:37,35.6,19.7
0,0,0
0,0,0
13:33:39,35.5,19.7
0,0,0
0,0,0
13:33:41,35.5,19.7
0,0,0
0,0,0
13:33:43,35.5,19.7
0,0,0
0,0,0
13:33:45,35.5,19.7
0,0,0
0,0,0
13:33:47,35.6,19.7
0,0,0
0,0,0
13:33:49,35.6,19.7
0,0,0
0,0,0
13:33:51,35.6,19.7
0,0,0
0,0,0
13:33:53,35.6,19.7
0,0,0
0,0,0
13:33:55,35.6,19.7
0,0,0
0,0,0
13:33:57,35.6,19.7
0,0,0
0,0,0
13:33:59,35.6,19.7
0,0,0
0,0,0
13:34:01,35.6,19.7
0,0,0
0,0,0
13:34:03,35.6,19.7
0,0,0
0,0,0
13:34:05,35.6,19.7
0,0,0
0,0,0
13:34:07,35.7,19.7
0,0,0
0,0,0
13:34:09,35.6,19.7
0,0,0
0,0,0
13:34:11,35.6,19.7
0,0,0
0,0,0
13:34:13,35.6,19.8
0,0,0
0,0,0
13:34:15,35.6,19.8
0,0,0
0,0,0
13:34:17,35.6,19.8
0,0,0
0,0,0
13:34:19,35.6,19.8
0,0,0
0,0,0
13:34:21,35.6,19.8
0,0,0
0,0,0
13:34:23,35.6,19.8
0,0,0
0,0,0
13:34:25,35.6,19.8
0,0,0
0,0,0
13:34:27,35.6,19.8
0,0,0
0,0,0
13:34:29,35.6,19.8
0,0,0
0,0,0
13:34:31,35.6,19.8
0,0,0
0,0,0
13:34:33,35.6,19.8
0,0,0
0,0,0
13:34:35,35.6,19.8
0,0,0
0,0,0
13:34:37,35.6,19.8
0,0,0
0,0,0
13:34:39,35.7,19.8
0,0,0
0,0,0
13:34:41,35.7,19.8
0,0,0
0,0,0
13:34:43,35.7,19.8
0,0,0
0,0,0
13:34:45,35.7,19.8
0,0,0
0,0,0
13:34:47,35.7,19.8
0,0,0
0,0,0
13:34:49,35.7,19.8
0,0,0
0,0,0
13:34:51,35.7,19.8
0,0,0
0,0,0
13:34:53,35.7,19.8
0,0,0
0,0,0
13:34:55,35.7,19.9
0,0,0
0,0,0
13:34:57,35.7,19.9
0,0,0
0,0,0
13:34:59,35.7,19.9
0,0,0
0,0,0
13:35:01,35.6,19.9
0,0,0
0,0,0
13:35:03,35.6,19.9
0,0,0
0,0,0
13:35:05,35.7,19.9
0,0,0
0,0,0
13:35:07,35.7,19.9
0,0,0
0,0,0
13:35:09,35.7,19.9
0,0,0
0,0,0
13:35:11,35.7,19.9
0,0,0
0,0,0
13:35:13,35.7,19.9
0,0,0
0,0,0
13:35:15,35.7,19.9
0,0,0
0,0,0
13:35:17,35.7,19.9
0,0,0
0,0,0
13:35:19,35.7,19.9
0,0,0
0,0,0
13:35:21,35.7,19.9
0,0,0
0,0,0
13:35:23,35.7,19.9
0,0,0
0,0,0
14:12:39,1.15,26.4
0,0,0
0,0,0
14:12:41,1.147,26.6
0,0,0
0,0,0
14:12:43,1.142,26.6
0,0,0
0,0,0
14:12:45,1.142,26.9
0,0,0
0,0,0
14:12:47,1.136,27.1
0,0,0
0,0,0
14:12:49,1.13,27.4
0,0,0
0,0,0
14:12:51,1.124,27.6
0,0,0
0,0,0
14:12:53,1.119,27.8
0,0,0
0,0,0
14:12:55,1.114,27.9
0,0,0
0,0,0
14:12:57,1.11,28.1
0,0,0
0,0,0
14:12:59,1.106,28.2
0,0,0
0,0,0
14:13:01,1.102,28.2
0,0,0
0,0,0
14:13:03,1.102,28.3
0,0,0
0,0,0
14:13:05,1.099,28.4
0,0,0
0,0,0
14:13:07,1.097,28.4
0,0,0
0,0,0
14:13:09,109.7,28.4
0,0,0
0,0,0
14:13:11,0,28.4
0,0,0
0,0,0
14:13:13,36.4,28.3
0,0,0
0,0,0
14:13:15,1.102,28.3
0,0,0
0,0,0
14:13:17,1.102,28.2
0,0,0
0,0,0
14:13:19,1.101,28.3
0,0,0
0,0,0
14:13:21,1.1,28.4
0,0,0
0,0,0
14:13:23,1.099,28.5
0,0,0
0,0,0
14:13:25,1.097,28.5
0,0,0
0,0,0
14:13:27,1.095,28.6
0,0,0
0,0,0
14:13:29,1.094,28.6
0,0,0
0,0,0
14:13:31,1.093,28.6
0,0,0
0,0,0
14:13:33,1.092,28.7
0,0,0
0,0,0
14:13:35,109.2,28.7
0,0,0
0,0,0
