Time,Conductivity (mS),Temperature (C)
13:33:07,35.5,19.6
0,0,0
0,0,0
13:33:09,35.5,19.6
0,0,0
0,0,0
13:33:11,35.5,19.6
0,0,0
0,0,0
13:33:13,35.5,19.6
0,0,0
0,0,0
13:33:15,35.5,19.6
0,0,0
0,0,0
13:33:17,35.6,19.6
0,0,0
0,0,0
13:33:19,35.6,19.6
0,0,0
0,0,0
13:33:21,35.6,19.6
0,0,0
0,0,0
13:33:23,35.6,19.6
0,0,0
0,0,0
13:33:25,35.6,19.6
0,0,0
0,0,0
13:33:27,35.6,19.6
0,0,0
0,0,0
13:33:29,35.6,19.6
0,0,0
0,0,0
13:33:31,35.6,19.6
0,0,0
0,0,0
13:33:33,35.6,19.6
0,0,0
0,0,0
13:33:35,35.6,19.7
0,0,0
0,0,0
13:33:37,35.6,19.7
0,0,0
0,0,0
13:33:39,35.5,19.7
0,0,0
0,0,0
13:33:41,35.5,19.7
0,0,0
0,0,0
13:33:43,35.5,19.7
0,0,0
0,0,0
13:33:45,35.5,19.7
0,0,0
0,0,0
13:33:47,35.6,19.7
0,0,0
0,0,0
13:33:49,35.6,19.7
0,0,0
0,0,0
13:33:51,35.6,19.7
0,0,0
0,0,0
13:33:53,35.6,19.7
0,0,0
0,0,0
13:33:55,35.6,19.7
0,0,0
0,0,0
13:33:57,35.6,19.7
0,0,0
0,0,0
13:33:59,35.6,19.7
0,0,0
0,0,0
13:34:01,35.6,19.7
0,0,0
0,0,0
13:34:03,35.6,19.7
0,0,0
0,0,0
13:34:05,35.6,19.7
0,0,0
0,0,0
13:34:07,35.7,19.7
0,0,0
0,0,0
13:34:09,35.6,19.7
0,0,0
0,0,0
13:34:11,35.6,19.7
0,0,0
0,0,0
13:34:13,35.6,19.8
0,0,0
0,0,0
13:34:15,35.6,19.8
0,0,0
0,0,0
13:34:17,35.6,19.8
0,0,0
0,0,0
13:34:19,35.6,19.8
0,0,0
0,0,0
13:34:21,35.6,19.8
0,0,0
0,0,0
13:34:23,35.6,19.8
0,0,0
0,0,0
13:34:25,35.6,19.8
0,0,0
0,0,0
13:34:27,35.6,19.8
0,0,0
0,0,0
13:34:29,35.6,19.8
0,0,0
0,0,0
13:34:31,35.6,19.8
0,0,0
0,0,0
13:34:33,35.6,19.8
0,0,0
0,0,0
13:34:35,35.6,19.8
0,0,0
0,0,0
13:34:37,35.6,19.8
0,0,0
0,0,0
13:34:39,35.7,19.8
0,0,0
0,0,0
13:34:41,35.7,19.8
0,0,0
0,0,0
13:34:43,35.7,19.8
0,0,0
0,0,0
13:34:45,35.7,19.8
0,0,0
0,0,0
13:34:47,35.7,19.8
0,0,0
0,0,0
13:34:49,35.7,19.8
0,0,0
0,0,0
13:34:51,35.7,19.8
0,0,0
0,0,0
13:34:53,35.7,19.8
0,0,0
0,0,0
13:34:55,35.7,19.9
0,0,0
0,0,0
13:34:57,35.7,19.9
0,0,0
0,0,0
13:34:59,35.7,19.9
0,0,0
0,0,0
13:35:01,35.6,19.9
0,0,0
0,0,0
13:35:03,35.6,19.9
0,0,0
0,0,0
13:35:05,35.7,19.9
0,0,0
0,0,0
13:35:07,35.7,19.9
0,0,0
0,0,0
13:35:09,35.7,19.9
0,0,0
0,0,0
13:35:11,35.7,19.9
0,0,0
0,0,0
13:35:13,35.7,19.9
0,0,0
0,0,0
13:35:15,35.7,19.9
0,0,0
0,0,0
13:35:17,35.7,19.9
0,0,0
0,0,0
13:35:19,35.7,19.9
0,0,0
0,0,0
13:35:21,35.7,19.9
0,0,0
0,0,0
13:35:23,35.7,19.9
0,0,0
0,0,0
