Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:30:33,0.34,0.36,21.25,21
13:30:39,0.38,0.41,21.75,21.25
13:30:45,0.38,0.41,21.25,20.75
13:30:51,0.38,0.42,20.75,21.5
13:30:59,0.38,0.41,21.25,21.5
13:31:03,0.38,0.41,21.25,21
13:31:09,0.39,0.41,21.25,21.5
13:31:15,0.38,0.41,21.5,20.75
13:31:21,0.38,0.41,21.75,21
13:31:27,0.38,0.41,21.25,20.75
13:31:33,0.38,0.41,21.25,21.75
13:31:39,0.37,0.4,21.5,21.75
13:31:45,0.37,0.39,21.75,20.75
13:31:51,0.36,0.38,21.5,21
13:31:57,0.34,0.36,21.5,21.75
13:32:03,0.32,0.34,21.75,20.75
13:32:09,0.3,0.32,22,21
13:32:15,0.28,0.3,22,21.25
13:32:21,0.26,0.27,21.75,21.5
13:32:27,0.23,0.25,21.5,21.5
13:32:33,0.21,0.23,21.75,21.75
13:32:39,0.19,0.2,21.75,21
13:32:45,0.17,0.18,21.5,20.75
13:32:51,0.15,0.17,21.25,21.5
13:32:57,0.14,0.15,21.5,21.25
13:33:03,0.12,0.13,21.5,21.75
13:33:09,0.11,0.12,22,21.5
13:33:15,0.1,0.1,22,21
13:33:21,0.09,0.09,21.75,21.5
13:33:27,0.08,0.09,21.75,21.75
13:33:33,0.07,0.08,21.75,21.75
13:33:39,0.07,0.07,21.75,21.75
13:33:45,0.06,0.07,22,21.5
13:33:51,0.06,0.06,22,21.25
13:33:57,0.06,0.06,21.75,21.5
13:34:03,0.06,0.06,21.75,21.5
13:34:09,0.06,0.06,21.75,21.5
13:34:15,0.05,0.06,21.5,21.5
13:34:21,0.05,0.06,22.5,21.75
13:34:27,0.05,0.06,21.5,21.75
13:34:33,0.05,0.06,22,21.5
13:34:39,0.05,0.06,22,21.25
13:34:45,0.05,0.06,21.5,21.5
13:34:52,0.05,0.06,21.75,21.5
13:34:57,0.06,0.06,21.75,21.25
13:35:03,0.06,0.06,21.25,21.5
13:35:09,0.06,0.06,21.75,21.5
13:35:15,0.06,0.06,21.25,21.25
13:35:21,0.06,0.06,21.75,21.5
13:35:27,0.06,0.06,21.75,21.75
13:35:33,0.06,0.06,22,21
13:35:39,0.06,0.06,22,21.25
13:35:45,0.06,0.06,21.5,20.75
13:35:51,0.06,0.06,21.75,21.5
13:35:57,0.06,0.06,21.5,21.5
13:36:03,0.06,0.06,21,21.5
13:36:09,0.06,0.06,22,20.75
13:36:15,0.06,0.06,21.25,20.75
13:36:21,0.06,0.06,21.75,21.5
13:36:27,0.06,0.06,21.25,21.5
13:36:33,0.06,0.06,22,21
13:36:39,0.06,0.06,22,21.25
13:36:45,0.06,0.06,21.25,21.25
13:36:51,0.06,0.06,21.75,21.75
13:36:57,0.06,0.06,22,21.25
13:37:03,0.06,0.06,21.75,21.5
13:37:09,0.06,0.06,21.75,20.75
13:37:15,0.06,0.06,22.25,21.5
13:37:21,0.06,0.06,21.75,21.25
13:37:27,0.06,0.06,21.75,21.25
13:37:33,0.06,0.06,22,21.75
13:37:39,0.06,0.06,21.5,21.25
13:37:45,0.06,0.06,22,21.75
13:37:51,0.06,0.06,21.75,21.25
13:37:57,0.06,0.06,22,21.25
13:38:03,0.06,0.06,22,21.5
13:38:09,0.06,0.06,21.75,20.75
13:38:15,0.06,0.06,21.75,21.75
13:38:21,0.06,0.06,22,21
13:38:27,0.05,0.06,21.5,21.25
13:38:33,0.06,0.06,21.75,21.75
13:38:39,0.06,0.06,22,21.25
13:38:45,0.05,0.06,21.75,21.25
13:38:51,0.06,0.06,21.5,21.5
13:38:57,0.05,0.06,22.5,21
