Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
15:43:05,0.05,0.06,22,21.75
15:43:11,0.05,0.06,22.25,21.75
15:43:17,0.05,0.05,22.5,21.25
15:43:23,0.05,0.05,21.75,20.75
15:43:29,0.05,0.05,21.75,21.5
15:43:35,0.05,0.05,22,22
15:43:41,0.05,0.05,22,21.5
15:43:47,0.05,0.05,21.75,21.25
15:43:53,0.05,0.05,22.25,21.75
15:43:59,0.05,0.06,21.75,21.5
15:44:05,0.05,0.06,21.75,21.5
15:44:11,0.05,0.06,21.5,21.75
15:44:17,0.05,0.06,21.5,21.75
15:44:23,0.05,0.06,22,21.25
15:44:29,0.05,0.06,22.25,21.5
15:44:35,0.05,0.06,22.25,21.75
15:44:41,0.05,0.06,21.75,21.25
15:44:47,0.05,0.06,22,21.25
15:44:53,0.05,0.06,21.5,21.75
15:44:59,0.05,0.06,22,21.75
15:45:05,0.05,0.06,22.5,21.5
15:45:11,0.05,0.06,21.75,21.5
15:45:17,0.06,0.06,21.5,21.25
15:45:23,0.05,0.06,22.5,21.5
15:45:29,0.05,0.06,22.25,22.25
15:45:35,0.05,0.06,22,21.25
15:45:41,0.05,0.06,22.25,21.25
15:45:47,0.05,0.06,22,21.5
15:45:53,0.05,0.06,22,21.5
15:45:59,0.06,0.06,21.75,21.75
15:46:05,0.05,0.06,21.75,21.5
15:46:11,0.05,0.06,22.25,21.5
15:46:17,0.05,0.06,22,21.5
15:46:23,0.05,0.06,21.5,21.75
15:46:30,0.05,0.06,22.25,22
15:46:35,0.05,0.06,21.75,22
15:46:41,0.05,0.06,22,22
15:46:47,0.05,0.06,22,21
15:46:53,0.06,0.07,22,21.75
15:46:59,0.08,0.08,22.5,21.5
15:47:05,0.1,0.1,22.5,21.75
15:47:11,0.14,0.15,22,21.5
15:47:17,0.22,0.23,22.5,21.75
15:47:23,0.32,0.33,22.25,20.75
15:47:29,0.37,0.39,22.25,21.75
15:47:35,0.42,0.44,22,21.5
15:47:41,0.47,0.49,22.25,21.5
15:47:47,0.51,0.55,21.5,21.5
15:47:53,0.55,0.59,22,21.75
15:47:59,0.6,0.63,22.25,21.5
15:48:05,0.64,0.68,21.75,21.5
15:48:11,0.66,0.71,21.75,21.75
15:48:17,0.68,0.72,22,21.75
15:48:23,0.69,0.73,22.25,21.75
15:48:29,0.7,0.75,22,21.5
15:48:35,0.71,0.75,22,22
15:48:41,0.7,0.75,22,21
15:48:47,0.7,0.74,21.75,21.75
15:48:53,0.7,0.74,21.75,21.5
15:48:59,0.7,0.74,22,21.75
15:49:05,0.7,0.74,22.5,21.5
15:49:11,0.7,0.73,22.75,21.75
15:49:17,0.7,0.74,22,21.5
15:49:23,0.69,0.74,21.75,21.75
15:49:29,0.69,0.73,22,21.5
15:49:35,0.69,0.73,22,21.75
15:49:41,0.68,0.72,22,21
15:49:47,0.68,0.72,21.75,21.25
15:49:53,0.67,0.71,22.25,21.75
15:49:59,0.67,0.71,22.25,21.5
15:50:05,0.67,0.72,21.5,22.25
15:50:11,0.67,0.72,21.75,22
15:50:17,0.67,0.71,22.25,21.75
15:50:23,0.67,0.7,22.5,22
15:50:29,0.67,0.71,22.25,21
15:50:35,0.67,0.72,21.5,22.25
15:50:41,0.67,0.71,22.5,21.75
15:50:47,0.66,0.69,22.25,21.5
15:50:53,0.65,0.69,22,22
15:50:59,0.65,0.68,22.5,22.25
15:51:05,0.63,0.66,22.5,21.25
15:51:11,0.63,0.67,21.75,21.75
15:51:17,0.63,0.66,22.5,21.75
