Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:49:02,5.09,5.04,25.50,1.28,1.30,24.25
12:49:03,5.09,5.11,24.75,0.84,0.85,24.50
12:49:04,5.83,5.78,25.50,1.28,1.30,24.00
12:49:05,2.22,2.20,25.50,2.62,2.67,24.00
12:49:06,3.61,3.58,25.50,1.28,1.29,24.50
12:49:07,5.83,5.80,25.25,1.28,1.29,24.50
12:49:08,3.61,3.63,24.75,3.00,3.04,24.25
12:49:09,3.61,3.61,25.00,2.61,2.64,24.50
12:49:10,5.09,5.07,25.25,2.62,2.67,24.00
12:49:11,1.48,1.47,25.25,1.28,1.31,23.75
12:49:12,3.61,3.58,25.50,2.62,2.66,24.25
12:49:13,2.87,2.84,25.50,1.28,1.29,24.50
12:49:14,3.61,3.59,25.25,1.73,1.75,24.50
12:49:15,2.87,2.86,25.25,2.17,2.19,24.50
12:49:16,3.61,3.58,25.50,1.28,1.29,24.75
12:49:16,3.61,3.58,25.50,1.73,1.77,23.75
12:49:17,4.35,4.35,25.00,1.28,1.30,24.00
12:49:18,0.00,0.00,25.00,2.62,2.66,24.25
12:49:19,2.87,2.86,25.25,2.17,2.19,24.50
12:49:20,2.87,2.87,25.00,1.28,1.30,24.25
12:49:21,6.47,6.44,25.25,1.28,1.29,24.50
12:49:22,3.61,3.59,25.25,2.17,2.22,23.75
12:49:23,1.48,1.47,25.25,2.17,2.21,24.00
12:49:24,4.35,4.31,25.50,0.84,0.86,24.00
12:49:25,0.74,0.74,25.00,2.17,2.21,24.00
12:49:26,5.09,5.07,25.25,0.84,0.85,24.25
12:49:27,2.22,2.22,25.00,2.17,2.20,24.25
12:49:28,5.83,5.80,25.25,2.17,2.20,24.25
12:49:29,4.35,4.33,25.25,0.84,0.85,24.50
12:49:30,2.87,2.86,25.25,2.17,2.20,24.25
12:49:31,3.61,3.58,25.50,1.28,1.29,24.50
12:49:32,3.61,3.59,25.25,2.61,2.64,24.50
12:49:33,2.22,2.23,24.75,1.28,1.30,24.00
12:49:34,5.09,5.07,25.25,1.28,1.29,24.50
12:49:35,2.22,2.20,25.50,1.73,1.76,24.25
12:49:36,3.61,3.59,25.25,1.73,1.76,24.25
12:49:37,3.61,3.58,25.50,2.17,2.20,24.25
12:49:38,2.87,2.86,25.25,1.28,1.30,24.25
12:49:39,2.87,2.86,25.25,1.28,1.30,24.25
12:49:40,0.74,0.74,24.75,2.17,2.20,24.25
12:49:41,3.61,3.58,25.50,2.17,2.19,24.50
12:49:42,5.09,5.09,25.00,1.28,1.29,24.50
12:49:43,4.35,4.37,24.75,0.84,0.85,24.25
12:49:44,5.83,5.80,25.25,1.28,1.29,24.50
12:49:45,2.87,2.84,25.50,2.17,2.21,24.00
12:49:46,0.74,0.73,25.50,2.17,2.21,24.00
12:49:47,5.09,5.11,24.75,0.45,0.46,24.25
12:49:48,2.22,2.23,24.75,1.73,1.75,24.50
12:49:49,5.09,5.07,25.25,1.28,1.31,23.75
12:49:50,5.09,5.07,25.25,1.28,1.30,24.25
12:49:51,3.61,3.59,25.25,2.17,2.20,24.25
12:49:52,3.61,3.61,25.00,1.72,1.75,24.00
12:49:53,2.87,2.86,25.25,0.84,0.85,24.25
12:49:54,0.74,0.74,25.25,1.73,1.75,24.50
12:49:55,2.22,2.21,25.25,1.73,1.76,24.25
12:49:56,1.48,1.47,25.25,2.17,2.22,23.75
12:49:57,2.22,2.21,25.25,1.28,1.30,24.00
12:49:58,4.35,4.31,25.50,2.61,2.64,24.50
12:49:59,5.09,5.11,24.75,0.84,0.85,24.25
12:50:00,5.83,5.78,25.50,1.28,1.30,24.00
12:50:00,2.22,2.20,25.50,2.17,2.20,24.25
12:50:01,5.09,5.07,25.25,1.73,1.76,24.00
12:50:02,5.83,5.78,25.50,1.28,1.30,24.00
12:50:03,4.35,4.33,25.25,2.61,2.65,24.25
12:50:04,0.74,0.73,25.50,2.62,2.65,24.50
12:50:05,1.48,1.47,25.25,1.28,1.30,24.25
12:50:06,5.83,5.80,25.25,0.84,0.85,24.50
12:50:07,0.74,0.74,25.25,1.73,1.75,24.50
12:50:08,3.61,3.59,25.25,3.00,3.09,23.50
12:50:09,5.83,5.80,25.25,0.84,0.85,24.50
12:50:10,5.83,5.80,25.25,1.28,1.30,24.25
12:50:11,1.48,1.47,25.50,2.62,2.65,24.50
12:50:12,2.22,2.21,25.25,2.17,2.20,24.25
12:50:13,0.74,0.74,25.25,2.17,2.19,24.50
12:50:14,4.35,4.37,24.75,0.84,0.85,24.50
12:50:15,1.48,1.47,25.50,1.73,1.76,24.00
12:50:16,3.61,3.63,24.75,0.84,0.85,24.50
12:50:17,3.61,3.59,25.25,0.84,0.86,24.00
12:50:18,4.35,4.31,25.50,0.84,0.85,24.50
12:50:19,1.48,1.49,24.50,1.28,1.29,24.50
12:50:20,1.48,1.47,25.50,2.17,2.20,24.25
12:50:21,0.74,0.74,25.00,2.17,2.21,24.00
12:50:22,5.09,5.09,25.00,0.84,0.86,24.00
12:50:23,0.00,0.00,25.75,2.17,2.20,24.25
12:50:24,2.87,2.86,25.25,3.00,3.06,24.00
12:50:25,5.09,5.09,25.00,0.84,0.85,24.25
12:50:26,2.87,2.86,25.25,1.28,1.29,24.50
12:50:27,2.22,2.20,25.50,2.17,2.20,24.25
12:50:28,2.22,2.21,25.25,2.17,2.20,24.25
12:50:29,5.09,5.07,25.25,1.73,1.75,24.50
12:50:30,5.09,5.04,25.50,0.84,0.86,23.75
12:50:31,3.61,3.58,25.50,2.17,2.21,24.00
12:50:32,4.35,4.31,25.50,0.45,0.46,24.00
12:50:33,5.09,5.07,25.25,1.28,1.30,24.00
12:50:34,2.87,2.84,25.50,2.62,2.66,24.25
12:50:35,2.22,2.21,25.25,2.61,2.64,24.50
12:50:36,3.61,3.59,25.25,0.84,0.85,24.25
12:50:37,0.74,0.73,25.50,2.17,2.20,24.25
12:50:38,0.00,0.00,25.25,1.28,1.29,24.50
12:50:39,1.48,1.49,24.75,3.01,3.04,24.50
12:50:40,2.22,2.23,24.75,2.62,2.66,24.25
12:50:41,3.61,3.59,25.25,3.00,3.04,24.25
12:50:42,2.87,2.87,25.00,3.00,3.06,24.00
12:50:43,5.83,5.83,25.00,1.73,1.76,24.25
12:50:44,6.47,6.44,25.25,1.73,1.76,24.25
12:50:44,3.61,3.58,25.50,2.17,2.21,24.00
12:50:45,6.47,6.44,25.25,1.73,1.77,23.75
12:50:46,4.35,4.33,25.25,3.45,3.52,24.00
12:50:47,2.22,2.21,25.25,3.45,3.52,24.00
12:50:48,4.35,4.33,25.25,1.73,1.75,24.50
12:50:49,2.87,2.86,25.25,3.00,3.06,24.00
12:50:50,2.22,2.21,25.25,3.01,3.02,24.75
12:50:51,6.47,6.44,25.25,1.73,1.76,24.00
12:50:52,7.21,7.18,25.25,2.17,2.21,24.00
12:50:53,2.87,2.87,25.00,3.45,3.52,24.00
12:50:54,5.09,5.04,25.50,2.17,2.19,24.50
12:50:55,5.83,5.78,25.50,1.73,1.76,24.25
12:50:56,6.47,6.47,25.00,1.73,1.76,24.00
12:50:57,4.35,4.31,25.50,3.45,3.52,24.00
12:50:58,6.47,6.41,25.50,2.17,2.20,24.25
12:50:59,3.61,3.61,25.00,1.73,1.76,24.25
12:51:00,6.47,6.44,25.25,2.17,2.19,24.50
12:51:01,5.83,5.78,25.50,2.62,2.67,24.00
12:51:02,2.87,2.87,25.00,3.45,3.53,23.75
12:51:03,1.48,1.49,24.75,2.62,2.66,24.25
12:51:04,5.83,5.80,25.25,3.01,3.05,24.25
12:51:05,2.22,2.21,25.25,3.01,3.02,24.75
12:51:06,5.09,5.09,25.00,1.28,1.29,24.50
12:51:07,3.61,3.61,25.00,3.45,3.50,24.25
12:51:08,5.09,5.04,25.50,3.45,3.50,24.25
12:51:09,3.61,3.59,25.25,3.01,3.05,24.25
12:51:10,3.61,3.59,25.25,3.01,3.07,24.00
12:51:11,6.47,6.44,25.25,1.73,1.75,24.50
12:51:12,4.35,4.33,25.25,2.17,2.21,24.00
12:51:13,6.47,6.41,25.50,2.17,2.22,23.75
12:51:14,7.95,7.88,25.50,1.28,1.30,24.00
12:51:15,8.69,8.61,25.50,1.28,1.30,24.25
12:51:16,6.48,6.42,25.50,3.00,3.03,24.50
12:51:17,8.70,8.62,25.50,3.01,3.04,24.50
12:51:18,5.09,5.07,25.25,1.73,1.76,24.00
12:51:19,8.69,8.73,24.75,1.73,1.76,24.25
12:51:20,5.83,5.78,25.50,3.45,3.50,24.25
12:51:21,6.48,6.45,25.25,2.61,2.65,24.25
12:51:22,6.48,6.45,25.25,1.73,1.76,24.00
12:51:23,5.09,5.07,25.25,2.17,2.21,24.00
12:51:24,7.22,7.15,25.50,1.28,1.30,24.25
12:51:25,10.82,10.72,25.50,2.17,2.22,23.75
12:51:26,10.82,10.82,25.00,1.28,1.29,24.50
12:51:27,7.96,7.92,25.25,2.62,2.65,24.50
12:51:28,9.43,9.34,25.50,1.28,1.29,24.50
12:51:28,10.08,9.99,25.50,1.73,1.76,24.00
12:51:29,6.48,6.45,25.25,2.62,2.67,24.00
12:51:30,6.48,6.45,25.25,2.62,2.65,24.50
12:51:31,7.21,7.21,25.00,1.28,1.31,23.75
