Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
15:23:27,0.00,0.00,23.75,7.80,7.84,24.75
15:23:28,0.00,0.00,23.50,7.41,7.41,25.00
15:23:29,0.00,0.00,23.75,6.97,7.04,24.50
15:23:30,0.00,0.00,24.00,6.96,6.99,24.75
15:23:31,0.00,0.00,24.00,6.96,7.06,24.25
15:23:32,0.00,0.00,23.75,6.52,6.58,24.50
15:23:33,0.00,0.00,23.75,6.96,7.03,24.50
15:23:34,0.00,0.00,24.00,6.07,6.13,24.50
15:23:35,0.00,0.00,23.75,6.96,6.99,24.75
15:23:36,0.00,0.00,24.00,6.51,6.54,24.75
15:23:37,0.00,0.00,24.00,6.96,7.03,24.50
15:23:38,0.00,0.00,23.75,6.51,6.60,24.25
15:23:39,0.00,0.00,23.75,6.52,6.55,24.75
15:23:40,0.00,0.00,23.75,6.07,6.13,24.50
15:23:41,0.00,0.00,24.00,6.07,6.13,24.50
15:23:42,0.00,0.00,23.50,6.07,6.10,24.75
15:23:43,0.00,0.00,24.00,5.24,5.27,24.75
15:23:44,0.00,0.00,24.00,6.51,6.54,24.75
15:23:45,0.00,0.00,23.25,5.62,5.67,24.50
15:23:46,0.00,0.00,23.75,5.62,5.67,24.50
15:23:47,0.00,0.00,23.75,5.62,5.65,24.75
15:23:48,0.00,0.00,23.75,5.63,5.66,24.75
15:23:49,0.00,0.00,23.75,5.24,5.27,24.75
15:23:50,0.00,0.00,23.50,5.62,5.67,24.50
15:23:51,0.00,0.00,23.75,6.07,6.13,24.50
15:23:52,0.00,0.00,23.75,5.62,5.67,24.50
15:23:53,0.00,0.00,23.25,5.62,5.65,24.75
15:23:54,0.00,0.00,23.50,5.62,5.70,24.25
15:23:55,0.00,0.00,23.25,5.23,5.28,24.50
15:23:56,0.00,0.00,23.50,6.96,7.03,24.50
15:23:57,0.00,0.00,23.75,7.41,7.48,24.50
15:23:58,0.00,0.00,24.00,6.96,7.06,24.25
15:23:59,0.00,0.00,23.75,6.96,6.99,24.75
15:24:00,0.00,0.00,23.75,6.07,6.16,24.25
15:24:01,0.00,0.00,23.50,6.51,6.57,24.50
15:24:02,0.00,0.00,24.00,6.07,6.10,24.75
15:24:03,0.00,0.00,23.75,6.07,6.13,24.50
15:24:03,0.00,0.00,23.75,5.23,5.28,24.50
15:24:04,0.00,0.00,23.25,6.51,6.54,24.75
15:24:06,0.00,0.00,24.00,6.07,6.10,24.75
15:24:06,0.00,0.00,23.50,6.07,6.10,24.75
15:24:07,0.00,0.00,23.75,6.07,6.10,24.75
15:24:09,0.00,0.00,23.75,6.07,6.13,24.50
15:24:09,0.00,0.00,23.75,5.62,5.70,24.25
15:24:10,0.00,0.00,23.75,5.62,5.67,24.50
15:24:11,0.00,0.00,23.75,5.62,5.67,24.50
15:24:12,0.00,0.00,23.50,6.07,6.13,24.50
15:24:13,0.00,0.00,23.75,5.23,5.31,24.25
15:24:14,0.00,0.00,23.75,5.23,5.28,24.50
15:24:15,0.00,0.00,24.25,6.07,6.10,24.75
15:24:16,0.00,0.00,23.75,5.23,5.28,24.50
15:24:17,0.00,0.00,23.75,5.23,5.28,24.50
15:24:18,0.00,0.00,24.00,4.79,4.84,24.50
15:24:19,0.00,0.00,23.75,4.34,4.36,24.75
15:24:20,0.00,0.00,24.00,5.62,5.65,24.75
15:24:21,0.00,0.00,24.00,3.90,3.94,24.50
15:24:22,0.00,0.00,24.00,5.23,5.31,24.25
