Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
15:50:32,0.01,0.02,21,20.25
15:50:33,0.01,0.02,21.5,20.25
15:50:34,0.01,0.02,22.75,21
15:50:35,0.02,0.02,21.5,20.5
15:50:36,0.01,0.02,20.75,20.25
15:50:37,0.01,0.02,21.75,20.5
15:50:38,0.01,0.02,22.25,20.5
15:50:39,0.01,0.02,21.75,20.5
15:50:40,0.01,0.02,20.5,21
15:50:41,0.01,0.02,21.75,21.25
15:50:42,0.01,0.02,22.75,20.5
15:50:43,0.01,0.02,21,20.75
15:50:44,0.02,0.02,20,20.25
15:50:45,0.02,0.02,22.25,20.75
15:50:46,0.02,0.02,22.25,20.5
15:50:47,0.02,0.02,21,20.5
15:50:48,0.01,0.02,21.25,20.5
15:50:49,0.02,0.02,22.25,20.75
15:50:50,0.02,0.02,21.75,20.5
15:50:51,0.01,0.02,20.75,20.5
15:50:52,0.01,0.02,21.25,20.75
15:50:53,0.02,0.02,22.5,21
15:50:54,0.01,0.02,21.5,20.25
15:50:55,0.02,0.02,20,21
15:50:56,0.02,0.02,21.5,21.25
15:50:57,0.02,0.02,22.75,20.25
15:50:58,0.01,0.02,21.25,20.75
15:50:59,0.01,0.02,20.75,20.5
15:51:00,0.01,0.02,22,21
15:51:01,0.01,0.02,22.5,21
15:51:02,0.02,0.02,20.75,21
15:51:03,0.01,0.02,20.75,20.25
15:51:04,0.01,0.02,22.5,20.75
15:51:05,0.02,0.02,22.25,20.5
15:51:06,0.01,0.02,20.75,20.75
15:51:07,0.02,0.02,21.25,21
15:51:08,0.02,0.02,22.25,20.75
15:51:09,0.02,0.02,21.5,20.25
15:51:10,0.02,0.02,20.5,20.75
15:51:11,0.02,0.02,22,20.75
15:51:12,0.01,0.02,22.25,20.75
15:51:13,0.01,0.02,20.5,20.5
15:51:14,0.01,0.02,21.25,20.5
15:51:15,0.01,0.02,22.75,21
15:51:16,0.02,0.02,21.75,20.5
15:51:17,0.01,0.02,20.75,20.5
15:51:18,0.01,0.02,22,20.75
15:51:19,0.02,0.02,22.75,20.75
15:51:20,0.01,0.02,21,20.75
15:51:21,0.02,0.02,21,20.5
15:51:22,0.02,0.02,22.5,20.75
15:51:23,0.02,0.02,22,20.5
15:51:24,0.01,0.02,20.5,20.75
15:51:25,0.01,0.02,21.5,20.75
15:51:26,0.02,0.02,22,21
15:51:27,0.02,0.02,21.25,20.75
15:51:28,0.02,0.02,21,20.75
15:51:29,0.02,0.02,21.75,21.25
15:51:30,0.02,0.02,22.25,21
15:51:31,0.01,0.02,22.25,20.5
15:51:32,0.01,0.02,21,20.5
15:51:33,0.02,0.02,21.25,20.75
15:51:34,0.02,0.02,22.75,20.75
15:51:35,0.02,0.02,21.75,20.5
15:51:36,0.02,0.02,20.75,20.75
15:51:37,0.02,0.02,21,21
15:51:38,0.01,0.02,22.25,21.25
15:51:39,0.01,0.02,22.25,20.75
15:51:40,0.02,0.02,21.25,20.75
15:51:41,0.02,0.02,21,20.5
15:51:42,0.02,0.02,22.25,21.25
15:51:43,0.01,0.02,22.25,20.25
15:51:44,0.02,0.02,21,20.5
15:51:46,0.02,0.02,21,20.5
15:51:46,0.01,0.02,22.25,20.75
15:51:47,0.02,0.02,22.5,20.75
15:51:48,0.02,0.02,21.5,20.75
15:51:49,0.02,0.02,21,21
15:51:50,0.01,0.02,22,21.25
15:51:51,0.01,0.02,22,20.5
15:51:52,0.02,0.02,20.5,20.75
15:51:53,0.02,0.02,20.75,20.75
15:51:54,0.02,0.02,22.25,21
15:51:55,0.01,0.02,22.5,21
15:51:56,0.02,0.02,21,20.5
15:51:57,0.02,0.02,20.75,21
15:51:58,0.02,0.02,22,20.75
15:51:59,0.02,0.02,22.75,20.25
15:52:00,0.02,0.02,21.75,20.75
15:52:01,0.01,0.02,20.75,20.5
15:52:02,0.02,0.02,22,20.75
15:52:03,0.02,0.02,22.75,20.75
15:52:04,0.02,0.02,21.75,20.75
15:52:05,0.02,0.02,20.75,20.75
15:52:06,0.02,0.02,21.5,21.25
15:52:07,0.02,0.02,22.5,20.75
15:52:08,0.02,0.02,22,20.75
15:52:09,0.02,0.02,20.75,21
15:52:10,0.01,0.02,21.75,20.75
15:52:11,0.02,0.02,22.25,21.25
15:52:12,0.02,0.02,22,20.75
15:52:13,0.02,0.02,21,20.5
15:52:14,0.02,0.02,21.75,21.25
15:52:15,0.02,0.02,23,20.75
15:52:16,0.02,0.02,21.75,20.75
15:52:17,0.02,0.02,20.5,20.5
15:52:18,0.02,0.02,21.5,21.25
15:52:19,0.02,0.02,22.5,21
15:52:20,0.01,0.02,22,20.75
15:52:21,0.02,0.02,20.75,20.75
15:52:22,0.01,0.02,21.75,21
15:52:23,0.02,0.02,22.75,21
15:52:24,0.02,0.02,21.75,20.75
15:52:25,0.02,0.02,20.25,20.75
15:52:26,0.02,0.02,22,21.25
15:52:27,0.02,0.02,23,21
15:52:28,0.02,0.02,20.75,20.25
15:52:29,0.01,0.02,20.25,21
15:52:30,0.02,0.02,22.25,21.25
15:52:31,0.02,0.02,22.75,20.75
15:52:32,0.02,0.02,22,20.75
15:52:38,0.02,0.02,20.75,21
15:52:38,0.02,0.02,21.5,21
15:52:38,0.02,0.02,22.75,20.75
15:52:38,0.02,0.02,21.75,20.75
15:52:39,0.02,0.02,20.5,21
15:52:39,0.02,0.02,21.5,21
15:52:39,0.02,0.02,22.75,21
15:52:40,0.02,0.02,21.75,20.75
15:52:41,0.02,0.02,20.75,21
15:52:43,0.02,0.02,21.5,21.25
15:52:43,0.02,0.02,22.75,21
15:52:44,0.02,0.02,21.75,20.75
15:52:45,0.02,0.02,20.5,20.75
15:52:46,0.02,0.02,22,21
