Time,Conductivity (?S),Conductivity @25*C (?S),Temperature_1,Conductivity @25*C (?microS)
16:18:07,"6.47",7.11,20.25,0.00711
16:18:08,"6.47",7.07,20.5,0.00707
16:18:09,"6.38",7.05,20,0.00705
16:18:10,"6.38",6.94,20.75,0.00694
16:18:11,"6.39",7.06,20,0.00706
16:18:12,"6.39",7.06,20,0.00706
16:18:13,"6.39",6.99,20.5,0.00699
16:18:14,"6.29",6.95,20,0.00695
16:18:15,"6.38",6.94,20.75,0.00694
16:18:16,"6.38",6.98,20.5,0.00698
16:18:17,"6.29",6.91,20.25,0.00691
16:18:18,"6.39",6.99,20.5,0.00699
16:18:19,"6.39",7.1,19.75,0.0071
16:18:20,"6.39",6.99,20.5,0.00699
16:18:21,"6.48",7.09,20.5,0.00709
16:18:22,"6.47",7.23,19.5,0.00723
16:18:23,"6.38",7.05,20,0.00705
16:18:24,"6.39",7.02,20.25,0.00702
16:18:25,"6.48",7.2,19.75,0.0072
16:18:26,"6.39",7.06,20,0.00706
16:18:27,"6.39",7.14,19.5,0.00714
16:18:28,"6.39",6.99,20.5,0.00699
16:18:29,"6.29",6.99,19.75,0.00699
16:18:30,"6.39",7.1,19.75,0.0071
16:18:31,"6.29",6.88,20.5,0.00688
16:18:32,"6.29",6.99,19.75,0.00699
16:18:33,"6.29",6.88,20.5,0.00688
16:18:34,"6.57",7.26,20,0.00726
16:18:35,"6.39",7.06,20,0.00706
16:18:36,"6.29",6.84,20.75,0.00684
16:18:37,"6.39",7.1,19.75,0.0071
16:18:38,"6.39",7.06,20,0.00706
16:18:38,"6.29",6.91,20.25,0.00691
16:18:39,"6.39",7.1,19.75,0.0071
16:18:40,"6.29",6.91,20.25,0.00691
16:18:41,"6.39",6.95,20.75,0.00695
16:18:42,"6.39",7.06,20,0.00706
16:18:43,"6.38",6.98,20.5,0.00698
16:18:45,"6.38",7.05,20,0.00705
16:18:45,"6.38",7.09,19.75,0.00709
16:18:46,"6.39",6.95,20.75,0.00695
16:18:47,"6.48",7.16,20,0.00716
16:18:48,"6.47",7.23,19.5,0.00723
16:18:49,"6.38",7.01,20.25,0.00701
16:18:50,"6.39",7.06,20,0.00706
16:18:51,"6.38",7.01,20.25,0.00701
16:18:52,"6.48",7.12,20.25,0.00712
16:18:53,"6.38",7.05,20,0.00705
16:18:54,"6.29",6.95,20,0.00695
16:18:55,"6.48",7.12,20.25,0.00712
16:18:56,"6.38",7.05,20,0.00705
16:18:57,"6.29",6.99,19.75,0.00699
16:18:58,"6.48",7.09,20.5,0.00709
16:18:59,"6.48",7.12,20.25,0.00712
16:19:00,"6.38",7.12,19.5,0.00712
16:19:01,"6.30",6.85,20.75,0.00685
16:19:02,"6.30",6.92,20.25,0.00692
16:19:03,"6.29",6.95,20,0.00695
16:19:04,"6.29",6.91,20.25,0.00691
16:19:05,"6.30",6.96,20,0.00696
16:19:06,"6.30",7,19.75,0.007
16:19:07,"6.30",6.89,20.5,0.00689
16:19:08,"6.38",7.05,20,0.00705
16:19:09,"6.38",7.01,20.25,0.00701
16:19:10,"6.38",6.98,20.5,0.00698
16:19:11,"6.29",6.99,19.75,0.00699
16:19:12,"6.38",7.05,20,0.00705
16:19:13,"6.39",7.06,20,0.00706
16:19:14,"6.39",7.1,19.75,0.0071
16:19:15,"6.48",7.16,20,0.00716
16:19:16,"6.57",7.18,20.5,0.00718
16:19:17,"6.38",7.12,19.5,0.00712
16:19:18,"6.39",7.02,20.25,0.00702
16:19:19,"6.29",6.91,20.25,0.00691
16:19:20,"6.40",7.15,19.5,0.00715
16:19:21,"6.29",6.88,20.5,0.00688
16:19:21,"6.38",7.05,20,0.00705
16:19:22,"6.40",7.07,20,0.00707
16:19:23,"6.48",7.05,20.75,0.00705
16:19:24,"6.38",7.05,20,0.00705
16:19:25,"6.38",7.09,19.75,0.00709
16:19:26,"6.39",7.02,20.25,0.00702
16:19:27,"6.39",7.06,20,0.00706
16:19:28,"6.39",7.14,19.5,0.00714
16:19:29,"6.39",6.99,20.5,0.00699
16:19:30,"6.48",7.24,19.5,0.00724
16:19:31,"6.49",7.21,19.75,0.00721
16:19:32,"6.39",6.99,20.5,0.00699
16:19:33,"6.39",7.06,20,0.00706
16:19:34,"6.37",7,20.25,0.007
16:19:35,"6.38",7.05,20,0.00705
16:19:36,"6.48",7.09,20.5,0.00709
16:19:37,"6.29",6.95,20,0.00695
16:19:38,"6.38",6.94,20.75,0.00694
16:19:39,"6.47",7.07,20.5,0.00707
16:19:40,"6.49",7.29,19.25,0.00729
16:19:41,"6.30",6.89,20.5,0.00689
16:19:42,"6.39",6.99,20.5,0.00699
16:19:43,"6.37",7.08,19.75,0.00708
16:19:44,"6.40",7.07,20,0.00707
16:19:45,"6.40",7,20.5,0.007
16:19:46,"6.48",7.24,19.5,0.00724
16:19:47,"6.48",7.16,20,0.00716
16:19:48,"6.39",7.02,20.25,0.00702
16:19:49,"6.39",7.02,20.25,0.00702
16:19:50,"6.39",7.06,20,0.00706
16:19:51,"6.38",6.94,20.75,0.00694
16:19:52,"6.47",7.07,20.5,0.00707
16:19:53,"6.39",7.1,19.75,0.0071
16:19:54,"6.48",7.16,20,0.00716
16:19:55,"6.48",7.09,20.5,0.00709
16:19:56,"6.48",7.12,20.25,0.00712
16:19:57,"6.48",7.2,19.75,0.0072
16:19:58,"6.39",6.99,20.5,0.00699
16:19:59,"6.29",6.88,20.5,0.00688
16:20:00,"6.39",7.1,19.75,0.0071
16:20:01,"6.38",7.05,20,0.00705
16:20:02,"6.38",7.05,20,0.00705
16:20:03,"6.29",6.91,20.25,0.00691
16:20:04,"6.40",7.15,19.5,0.00715
16:20:05,"6.39",7.06,20,0.00706
16:20:05,"6.48",7.09,20.5,0.00709
16:20:06,"6.39",7.06,20,0.00706
16:20:07,"6.49",7.29,19.25,0.00729
16:20:08,"6.37",7.04,20,0.00704
16:20:09,"6.39",6.95,20.75,0.00695
16:20:10,"6.38",6.98,20.5,0.00698
16:20:11,"6.48",7.24,19.5,0.00724
16:20:12,"6.49",7.17,20,0.00717
16:20:13,"6.39",6.99,20.5,0.00699
16:20:14,"6.38",7.05,20,0.00705
16:20:15,"6.39",7.14,19.5,0.00714
16:20:16,"6.40",7.03,20.25,0.00703
16:20:17,"6.30",6.89,20.5,0.00689
16:20:18,"6.38",7.09,19.75,0.00709
16:20:19,"6.38",7.12,19.5,0.00712
16:20:20,"6.39",7.02,20.25,0.00702
16:20:21,"6.48",7.12,20.25,0.00712
16:20:22,"6.48",7.12,20.25,0.00712
16:20:23,"6.39",7.1,19.75,0.0071
16:20:24,"6.48",7.12,20.25,0.00712
16:20:25,"6.47",7.11,20.25,0.00711
16:20:26,"6.38",7.05,20,0.00705
16:20:27,"6.39",7.1,19.75,0.0071
16:20:28,"6.39",7.02,20.25,0.00702
16:20:29,"6.40",7,20.5,0.007
16:20:30,"6.39",7.1,19.75,0.0071
16:20:31,"6.29",6.95,20,0.00695
16:20:32,"6.31",6.94,20.25,0.00694
16:20:33,"6.30",6.92,20.25,0.00692
16:20:34,"6.48",7.2,19.75,0.0072
16:20:35,"6.58",7.23,20.25,0.00723
16:20:36,"6.30",6.92,20.25,0.00692
16:20:37,"6.38",7.09,19.75,0.00709
16:20:38,"6.55",7.28,19.75,0.00728
16:20:39,"6.39",6.99,20.5,0.00699
16:20:40,"6.38",7.05,20,0.00705
16:20:41,"6.56",7.29,19.75,0.00729
16:20:42,"6.39",6.99,20.5,0.00699
16:20:43,"6.47",7.07,20.5,0.00707
16:20:44,"6.56",7.33,19.5,0.00733
16:20:45,"6.48",7.16,20,0.00716
16:20:46,"6.38",7.05,20,0.00705
16:20:47,"6.29",6.99,19.75,0.00699
16:20:47,"6.48",7.2,19.75,0.0072
