Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:52:52,0.00,0.00,19.50,24.50
13:52:53,0.00,0.00,20.00,23.75
13:52:54,0.00,0.00,19.50,24.50
13:52:55,0.00,0.00,18.50,24.25
13:52:56,0.00,0.00,19.50,24.25
13:52:57,0.00,0.00,19.00,24.25
13:52:58,0.00,0.00,17.75,24.25
13:52:59,0.00,0.00,18.25,23.75
13:53:00,0.00,0.00,18.75,24.00
13:53:01,0.00,0.00,18.25,24.25
13:53:02,0.00,0.00,18.25,24.00
13:53:03,0.00,0.00,19.25,24.00
13:53:04,0.00,0.00,18.25,24.00
13:53:05,0.00,0.00,18.25,24.00
13:53:06,0.00,0.00,19.00,24.25
13:53:07,0.00,0.00,19.00,24.00
13:53:08,0.00,0.00,17.75,24.25
13:53:09,0.00,0.00,19.00,24.25
13:53:10,0.00,0.00,19.00,24.00
13:53:11,0.00,0.00,17.50,24.00
13:53:12,0.00,0.00,18.25,24.00
13:53:13,0.00,0.00,19.00,24.25
13:53:14,0.00,0.00,18.25,24.25
13:53:15,0.00,0.00,18.50,24.00
13:53:15,0.00,0.00,19.00,24.00
13:53:16,0.00,0.00,18.25,24.25
13:53:17,0.00,0.00,18.00,24.00
13:53:18,0.00,0.00,18.75,24.00
13:53:19,0.00,0.00,18.50,24.00
13:53:20,0.00,0.00,18.00,24.25
13:53:21,0.00,0.00,18.75,24.25
13:53:22,0.00,0.00,18.25,24.25
13:53:23,0.00,0.00,17.75,24.00
13:53:24,0.00,0.00,18.25,24.50
13:53:25,0.00,0.00,19.00,24.00
13:53:26,0.00,0.00,18.00,24.25
13:53:27,0.00,0.00,18.25,24.00
13:53:28,0.00,0.00,18.50,24.25
13:53:29,0.00,0.00,18.25,24.00
13:53:30,0.00,0.00,17.75,24.25
13:53:31,0.00,0.00,18.50,24.00
13:53:32,0.00,0.00,18.25,24.00
13:53:33,0.00,0.00,18.00,24.25
13:53:34,0.00,0.00,18.00,23.75
13:53:35,0.00,0.00,18.25,24.00
13:53:36,0.00,0.00,17.75,24.00
13:53:37,0.00,0.00,18.00,24.00
13:53:38,0.00,0.00,19.00,24.50
13:53:39,0.00,0.00,17.75,23.50
13:53:40,0.00,0.00,18.00,24.25
13:53:41,0.00,0.00,18.75,23.75
13:53:42,0.00,0.00,17.75,24.25
13:53:43,0.00,0.00,17.25,24.25
13:53:44,0.00,0.00,18.50,24.25
13:53:45,0.00,0.00,18.25,24.00
