Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
16:41:56,0.41,0.43,22.25,21.00
16:42:02,0.43,0.46,22.25,21.50
16:42:08,0.43,0.46,22.00,22.00
16:42:14,0.43,0.46,22.00,21.75
16:42:20,0.43,0.46,22.00,21.50
16:42:26,0.43,0.45,22.25,21.50
16:42:32,0.43,0.46,22.00,21.25
16:42:38,0.43,0.45,22.25,21.50
16:42:44,0.43,0.46,21.50,21.75
16:42:50,0.43,0.45,22.25,21.50
16:42:56,0.43,0.45,22.25,21.25
16:43:02,0.43,0.46,22.00,21.75
16:43:08,0.43,0.46,21.75,21.50
16:43:14,0.43,0.46,22.00,21.50
16:43:20,0.43,0.45,22.75,21.75
16:43:26,0.43,0.46,22.00,21.75
16:43:32,0.43,0.46,22.25,21.50
16:43:38,0.43,0.46,22.00,21.50
16:43:44,0.43,0.45,22.25,21.50
16:43:50,0.43,0.45,22.25,21.75
16:43:56,0.43,0.46,22.25,21.25
16:44:02,0.43,0.46,21.50,21.25
16:44:08,0.43,0.46,22.00,21.75
16:44:14,0.43,0.45,22.25,21.75
16:44:20,0.43,0.45,22.25,21.50
16:44:26,0.43,0.45,22.00,21.75
16:44:32,0.43,0.46,21.75,21.75
16:44:38,0.43,0.45,22.25,21.75
16:44:44,0.43,0.46,22.00,21.75
16:44:50,0.43,0.46,22.00,21.50
16:44:56,0.43,0.46,22.00,21.25
16:45:02,0.43,0.46,21.75,21.75
16:45:08,0.43,0.46,22.00,21.50
16:45:14,0.43,0.46,21.75,21.50
16:45:20,0.43,0.46,22.00,22.00
16:45:26,0.43,0.45,22.25,21.50
16:45:32,0.43,0.45,22.25,21.50
16:45:38,0.43,0.45,22.00,21.75
16:45:44,0.43,0.45,22.25,21.25
16:45:50,0.43,0.45,22.50,21.75
16:45:56,0.43,0.46,21.75,21.00
16:46:02,0.43,0.46,21.75,22.00
16:46:08,0.43,0.46,21.50,22.00
16:46:14,0.43,0.45,22.25,21.50
16:46:20,0.43,0.45,22.50,22.00
16:46:26,0.43,0.45,22.00,21.50
16:46:32,0.43,0.45,22.00,21.50
