Time,Conductivity (mS),Temperature (C)
16:40:40,0.464,21.2
0,0,0
0,0,0
16:40:42,0.464,21.2
0,0,0
0,0,0
16:40:44,0.464,21.2
0,0,0
0,0,0
16:40:46,0.464,21.2
0,0,0
0,0,0
16:40:48,0.464,21.2
0,0,0
0,0,0
16:40:50,0.464,21.2
0,0,0
0,0,0
16:40:52,0.464,21.2
0,0,0
0,0,0
16:40:54,0.464,21.2
0,0,0
0,0,0
16:40:56,0.464,21.2
0,0,0
0,0,0
16:40:58,0.464,21.2
0,0,0
0,0,0
16:41:00,0.464,21.2
0,0,0
0,0,0
16:41:02,0.464,21.2
0,0,0
0,0,0
16:41:04,0.464,21.2
0,0,0
0,0,0
16:41:06,0.464,21.2
0,0,0
0,0,0
16:41:08,0.464,21.2
0,0,0
0,0,0
16:41:10,0.464,21.2
0,0,0
0,0,0
16:41:12,0.464,21.2
0,0,0
0,0,0
16:41:14,0.464,21.2
0,0,0
0,0,0
16:41:16,0.464,21.2
0,0,0
0,0,0
16:41:18,0.464,21.2
0,0,0
0,0,0
16:41:20,0.464,21.2
0,0,0
0,0,0
16:41:22,0.464,21.2
0,0,0
0,0,0
16:41:24,0.464,21.2
0,0,0
0,0,0
16:41:26,0.464,21.2
0,0,0
0,0,0
16:41:28,0.464,21.2
0,0,0
0,0,0
16:41:30,0.464,21.2
0,0,0
0,0,0
16:41:32,0.464,21.2
0,0,0
0,0,0
16:41:34,0.464,21.2
0,0,0
0,0,0
16:41:36,0.464,21.2
0,0,0
0,0,0
16:41:38,0.464,21.2
0,0,0
0,0,0
16:41:40,0.464,21.2
0,0,0
0,0,0
16:41:42,0.464,21.2
0,0,0
0,0,0
16:41:44,0.464,21.2
0,0,0
0,0,0
16:41:46,0.464,21.2
0,0,0
0,0,0
16:41:48,0.464,21.2
0,0,0
0,0,0
16:41:50,0.464,21.2
0,0,0
0,0,0
16:41:52,0.464,21.2
0,0,0
0,0,0
16:41:54,0.464,21.2
0,0,0
0,0,0
16:41:56,0.464,21.2
0,0,0
0,0,0
16:41:58,0.464,21.2
0,0,0
0,0,0
16:42:00,0.464,21.2
0,0,0
0,0,0
16:42:02,0.464,21.2
0,0,0
0,0,0
16:42:04,0.464,21.2
0,0,0
0,0,0
16:42:06,0.464,21.2
0,0,0
0,0,0
16:42:08,0.464,21.2
0,0,0
0,0,0
16:42:10,0.464,21.2
0,0,0
0,0,0
16:42:12,0.464,21.2
0,0,0
0,0,0
16:42:14,0.464,21.2
0,0,0
0,0,0
16:42:16,0.464,21.2
0,0,0
0,0,0
16:42:18,0.464,21.2
0,0,0
0,0,0
16:42:20,0.464,21.2
0,0,0
0,0,0
16:42:22,0.464,21.2
0,0,0
0,0,0
16:42:24,0.464,21.2
0,0,0
0,0,0
16:42:26,0.464,21.2
0,0,0
0,0,0
16:42:28,0.464,21.2
0,0,0
0,0,0
16:42:30,0.464,21.2
0,0,0
0,0,0
16:42:32,0.464,21.2
0,0,0
0,0,0
16:42:34,0.464,21.2
0,0,0
0,0,0
16:42:36,0.464,21.2
0,0,0
0,0,0
16:42:38,0.464,21.2
0,0,0
0,0,0
16:42:40,0.464,21.2
0,0,0
0,0,0
16:42:42,0.464,21.2
0,0,0
0,0,0
16:42:44,0.464,21.2
0,0,0
0,0,0
16:42:46,0.464,21.2
0,0,0
0,0,0
16:42:48,0.464,21.2
0,0,0
0,0,0
16:42:50,0.464,21.2
0,0,0
0,0,0
16:42:52,0.464,21.2
0,0,0
0,0,0
16:42:54,0.464,21.2
0,0,0
0,0,0
16:42:56,0.464,21.2
0,0,0
0,0,0
16:42:58,0.464,21.2
0,0,0
0,0,0
16:43:00,0.464,21.2
0,0,0
0,0,0
16:43:02,0.464,21.2
0,0,0
0,0,0
16:43:04,0.464,21.2
0,0,0
0,0,0
16:43:06,0.464,21.2
0,0,0
0,0,0
16:43:08,0.464,21.2
0,0,0
0,0,0
16:43:10,0.464,21.2
0,0,0
0,0,0
16:43:12,0.464,21.2
0,0,0
0,0,0
16:43:14,0.464,21.2
0,0,0
0,0,0
16:43:16,0.464,21.2
0,0,0
0,0,0
16:43:18,0.464,21.2
0,0,0
0,0,0
16:43:20,0.464,21.2
0,0,0
0,0,0
16:43:22,0.464,21.2
0,0,0
0,0,0
16:43:24,0.464,21.2
0,0,0
0,0,0
16:43:26,0.464,21.2
0,0,0
0,0,0
16:43:28,0.464,21.2
0,0,0
0,0,0
16:43:30,0.341,21.2
0,0,0
0,0,0
16:43:32,0.463,21.2
0,0,0
0,0,0
16:43:34,0.463,21.2
0,0,0
0,0,0
16:43:36,0.463,21.2
0,0,0
0,0,0
16:43:38,0.5,21.2
0,0,0
0,0,0
16:43:40,0.5,21.2
0,0,0
0,0,0
16:43:42,0.929,21.2
0,0,0
0,0,0
16:43:44,0.929,21.3
0,0,0
0,0,0
16:43:46,0.929,21.4
0,0,0
0,0,0
16:43:48,0.928,21.5
0,0,0
0,0,0
16:43:50,0.927,21.6
0,0,0
0,0,0
16:43:52,0.926,21.6
0,0,0
0,0,0
16:43:54,0.924,21.7
0,0,0
0,0,0
16:43:56,0.923,21.7
0,0,0
0,0,0
16:43:58,0.923,21.7
0,0,0
0,0,0
16:44:00,0.922,21.7
0,0,0
0,0,0
16:44:02,0.921,21.8
0,0,0
0,0,0
16:44:04,0.92,21.8
0,0,0
0,0,0
16:44:06,0.92,21.8
0,0,0
0,0,0
16:44:08,0.919,21.8
0,0,0
0,0,0
16:44:10,0.919,21.8
0,0,0
0,0,0
16:44:12,0.919,21.8
0,0,0
0,0,0
16:44:14,0.918,21.9
0,0,0
0,0,0
16:44:16,0.918,21.9
0,0,0
0,0,0
